match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
756803,"Manuka Oval, Canberra",Final (N),Canberra,2015-01-28,Big Bash League,Sydney Sixers,Perth Scorchers,147/5,148/6,Perth Scorchers,4 wickets,147,5,148,6
756801,"W.A.C.A. Ground, Perth",2nd semi-final (N),Perth,2015-01-25,Big Bash League,Perth Scorchers,Melbourne Stars,144/7,126,Perth Scorchers,18 runs,144,7,126,10
756799,Adelaide Oval,1st semi-final (N),Adelaide,2015-01-24,Big Bash League,Sydney Sixers,Adelaide Strikers,181/4,94,Sydney Sixers,87 runs,181,4,94,10
756775,Sydney Cricket Ground,(N),Sydney,2015-01-22,Big Bash League,Sydney Thunder,Sydney Sixers,154/4,155/6,Sydney Sixers,4 wickets,154,4,155,6
756795,Melbourne Cricket Ground,(N),Melbourne,2015-01-21,Big Bash League,Perth Scorchers,Melbourne Stars,179/2,182/7,Melbourne Stars,3 wickets,179,2,182,7
756793,"Docklands Stadium, Melbourne",(N),Melbourne,2015-01-19,Big Bash League,Adelaide Strikers,Melbourne Renegades,166/5,144/7,Adelaide Strikers,22 runs,166,5,144,7
756791,Sydney Showground Stadium,(N),Sydney,2015-01-17,Big Bash League,Sydney Thunder,Melbourne Stars,106/8,107/2,Melbourne Stars,8 wickets,106,8,107,2
756797,"Brisbane Cricket Ground, Woolloongabba, Brisbane",(N),Brisbane,2015-01-15,Big Bash League,Brisbane Heat,Hobart Hurricanes,198/6,180/8,Brisbane Heat,18 runs,198,6,180,8
756787,Sydney Cricket Ground,(N),Sydney,2015-01-14,Big Bash League,Adelaide Strikers,Sydney Sixers,182/6,159,Adelaide Strikers,23 runs,182,6,159,10
756785,"Docklands Stadium, Melbourne",(N),Melbourne,2015-01-13,Big Bash League,Brisbane Heat,Melbourne Renegades,80,81/5,Melbourne Renegades,5 wickets,80,10,81,5
756783,Adelaide Oval,(N),Adelaide,2015-01-12,Big Bash League,Adelaide Strikers,Sydney Thunder,119/5,18/0,,,119,5,18,0
756781,"Brisbane Cricket Ground, Woolloongabba, Brisbane",(N),Brisbane,2015-01-11,Big Bash League,Brisbane Heat,Sydney Sixers,147/6,148/4,Sydney Sixers,6 wickets,147,6,148,4
756779,"Bellerive Oval, Hobart",,Hobart,2015-01-11,Big Bash League,Perth Scorchers,Hobart Hurricanes,141/8,123/7,Perth Scorchers,18 runs,141,8,123,7
756777,Melbourne Cricket Ground,(N),Melbourne,2015-01-10,Big Bash League,Melbourne Renegades,Melbourne Stars,153/6,154/7,Melbourne Stars,3 wickets,153,6,154,7
756771,Sydney Showground Stadium,(N),Sydney,2015-01-09,Big Bash League,Sydney Thunder,Hobart Hurricanes,77/7,84/5,Hobart Hurricanes,5 wickets,77,7,84,5
756773,"W.A.C.A. Ground, Perth",(D/N),Perth,2015-01-08,Big Bash League,Brisbane Heat,Perth Scorchers,134/7,137/2,Perth Scorchers,8 wickets,134,7,137,2
756789,"Bellerive Oval, Hobart",(N),Hobart,2015-01-07,Big Bash League,Melbourne Renegades,Hobart Hurricanes,163/7,126,Melbourne Renegades,37 runs,163,7,126,10
756769,Adelaide Oval,(N),Adelaide,2015-01-06,Big Bash League,Perth Scorchers,Adelaide Strikers,133/6,115,Perth Scorchers,18 runs,133,6,115,10
756767,Melbourne Cricket Ground,(N),Melbourne,2015-01-05,Big Bash League,Sydney Sixers,Melbourne Stars,150/6,150/4,Melbourne Stars,Super Over,150,6,150,4
