match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1023649,"W.A.C.A. Ground, Perth",Final (N),Perth,2017-01-28,Big Bash League,Sydney Sixers,Perth Scorchers,141/9,144/1,Perth Scorchers,9 wickets,141,9,144,1
1023647,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2nd Semi-Final (N),Brisbane,2017-01-25,Big Bash League,Brisbane Heat,Sydney Sixers,167/9,167/8,Sydney Sixers,Super Over,167,9,167,8
1023645,"W.A.C.A. Ground, Perth",1st Semi-Final (N),Perth,2017-01-24,Big Bash League,Melbourne Stars,Perth Scorchers,136/8,139/3,Perth Scorchers,7 wickets,136,8,139,3
1023643,Melbourne Cricket Ground,32nd Match (N),Melbourne,2017-01-21,Big Bash League,Melbourne Stars,Sydney Sixers,156/8,160/7,Sydney Sixers,3 wickets,156,8,160,7
1023641,"Bellerive Oval, Hobart",31st Match (N),Hobart,2017-01-21,Big Bash League,Hobart Hurricanes,Perth Scorchers,134/6,135/3,Perth Scorchers,7 wickets,134,6,135,3
1023639,"Brisbane Cricket Ground, Woolloongabba, Brisbane",30th Match (N),Brisbane,2017-01-20,Big Bash League,Melbourne Renegades,Brisbane Heat,199/5,198,Melbourne Renegades,1 run,199,5,198,10
1023637,Sydney Showground Stadium,29th Match (N),Sydney,2017-01-18,Big Bash League,Adelaide Strikers,Sydney Thunder,178/5,101,Adelaide Strikers,77 runs,178,5,101,10
1023635,Melbourne Cricket Ground,28th Match (N),Melbourne,2017-01-17,Big Bash League,Melbourne Stars,Brisbane Heat,138/7,139/3,Brisbane Heat,7 wickets,138,7,139,3
1023633,Adelaide Oval,27th Match (N),Adelaide,2017-01-16,Big Bash League,Melbourne Renegades,Adelaide Strikers,171/9,165/8,Melbourne Renegades,6 runs,171,9,165,8
1023631,"W.A.C.A. Ground, Perth",26th Match (N),Perth,2017-01-14,Big Bash League,Perth Scorchers,Melbourne Stars,134/7,137/3,Melbourne Stars,7 wickets,134,7,137,3
1023629,Sydney Cricket Ground,25th Match (N),Sydney,2017-01-14,Big Bash League,Sydney Sixers,Sydney Thunder,99/9,100/2,Sydney Thunder,8 wickets,99,9,100,2
