match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1226882,Sydney Cricket Ground,Final,Sydney,2021-02-06,Big Bash League,Sydney Sixers,Perth Scorchers,188/6,161/9,Sydney Sixers,27 runs,188,6,161,9
1226886,"Manuka Oval, Canberra",Challenger,Canberra,2021-02-04,Big Bash League,Perth Scorchers,Brisbane Heat,189/1,150/9,Perth Scorchers,49 runs,189,1,150,9
1226885,"Manuka Oval, Canberra",Knockout (N),Canberra,2021-01-31,Big Bash League,Sydney Thunder,Brisbane Heat,158/8,162/3,Brisbane Heat,7 wickets,158,8,162,3
1226884,"Manuka Oval, Canberra",Qualifier (N),Canberra,2021-01-30,Big Bash League,Perth Scorchers,Sydney Sixers,167/6,168/1,Sydney Sixers,9 wickets,167,6,168,1
1226883,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Eliminator (N),Brisbane,2021-01-29,Big Bash League,Adelaide Strikers,Brisbane Heat,130/7,131/4,Brisbane Heat,6 wickets,130,7,131,4
1226858,Melbourne Cricket Ground,56th Match (N),Melbourne,2021-01-26,Big Bash League,Melbourne Stars,Sydney Sixers,177/6,180/5,Sydney Sixers,5 wickets,177,6,180,5
1226860,Melbourne Cricket Ground,55th Match (D/N),Melbourne,2021-01-26,Big Bash League,Melbourne Renegades,Hobart Hurricanes,150/5,139/9,Melbourne Renegades,11 runs,150,5,139,9
1226862,Adelaide Oval,54th Match,Adelaide,2021-01-26,Big Bash League,Brisbane Heat,Perth Scorchers,181/7,175/6,Brisbane Heat,6 runs,181,7,175,6
1226836,Adelaide Oval,53rd Match (N),Adelaide,2021-01-25,Big Bash League,Adelaide Strikers,Sydney Thunder,115/4,116/1,Sydney Thunder,9 wickets,115,4,116,1
1226827,Melbourne Cricket Ground,52nd Match (N),Melbourne,2021-01-24,Big Bash League,Hobart Hurricanes,Sydney Sixers,188/8,181/8,Hobart Hurricanes,7 runs,188,8,181,8
1226847,Adelaide Oval,51st Match (D/N),Adelaide,2021-01-24,Big Bash League,Adelaide Strikers,Sydney Thunder,159/6,153/7,Adelaide Strikers,6 runs,159,6,153,7
1226849,Melbourne Cricket Ground,50th Match (N),Melbourne,2021-01-23,Big Bash League,Perth Scorchers,Melbourne Stars,182/4,171/6,Perth Scorchers,11 runs,182,4,171,6
1226848,"Docklands Stadium, Melbourne",49th Match (D/N),Melbourne,2021-01-23,Big Bash League,Brisbane Heat,Melbourne Renegades,173/5,147,Brisbane Heat,26 runs,173,5,147,10
1226880,Adelaide Oval,48th Match (N),Adelaide,2021-01-22,Big Bash League,Sydney Thunder,Sydney Sixers,232/5,186/5,Sydney Thunder,46 runs,232,5,186,5
1226834,"Docklands Stadium, Melbourne",47th Match (D/N),Melbourne,2021-01-22,Big Bash League,Perth Scorchers,Hobart Hurricanes,179/8,157/8,Perth Scorchers,22 runs,179,8,157,8
1226859,Adelaide Oval,46th Match (N),Adelaide,2021-01-21,Big Bash League,Adelaide Strikers,Brisbane Heat,197/5,115,Adelaide Strikers,82 runs,197,5,115,10
1226869,"Docklands Stadium, Melbourne",45th Match (N),Melbourne,2021-01-20,Big Bash League,Melbourne Stars,Melbourne Renegades,158/6,160/5,Melbourne Renegades,5 wickets,158,6,160,5
1226838,"Docklands Stadium, Melbourne",44th Match (N),Melbourne,2021-01-19,Big Bash League,Perth Scorchers,Brisbane Heat,174/5,115,Perth Scorchers,59 runs,174,5,115,10
1226840,"Manuka Oval, Canberra",43rd Match (N),Canberra,2021-01-18,Big Bash League,Sydney Thunder,Hobart Hurricanes,177/5,181/4,Hobart Hurricanes,6 wickets,177,5,181,4
1226864,Melbourne Cricket Ground,42nd Match (N),Melbourne,2021-01-17,Big Bash League,Melbourne Renegades,Melbourne Stars,150,153/4,Melbourne Stars,6 wickets,150,10,153,4
1226865,"Manuka Oval, Canberra",41st Match (N),Canberra,2021-01-16,Big Bash League,Perth Scorchers,Sydney Sixers,163/7,164/3,Sydney Sixers,7 wickets,163,7,164,3
