match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1227897,"Brian Lara Stadium, Tarouba, Trinidad",Final,Tarouba,2020-09-10,Caribbean Premier League,St Lucia Zouks,Trinbago Knight Riders,154,157/2,Trinbago Knight Riders,8 wickets,154,10,157,2
1227896,"Brian Lara Stadium, Tarouba, Trinidad",2nd Semi-Final,Tarouba,2020-09-08,Caribbean Premier League,Guyana Amazon Warriors,St Lucia Zouks,55,56/0,St Lucia Zouks,10 wickets,55,10,56,0
1227895,"Brian Lara Stadium, Tarouba, Trinidad",1st Semi-Final,Tarouba,2020-09-08,Caribbean Premier League,Jamaica Tallawahs,Trinbago Knight Riders,107/7,111/1,Trinbago Knight Riders,9 wickets,107,7,111,1
1227894,"Brian Lara Stadium, Tarouba, Trinidad",30th Match (D/N),Tarouba,2020-09-06,Caribbean Premier League,St Lucia Zouks,Jamaica Tallawahs,145/6,134/9,St Lucia Zouks,11 runs,145,6,134,9
1227893,"Brian Lara Stadium, Tarouba, Trinidad",29th Match,Tarouba,2020-09-06,Caribbean Premier League,St Kitts and Nevis Patriots,Trinbago Knight Riders,77,78/1,Trinbago Knight Riders,9 wickets,77,10,78,1
1227892,"Brian Lara Stadium, Tarouba, Trinidad",28th Match,Tarouba,2020-09-05,Caribbean Premier League,Jamaica Tallawahs,Barbados Tridents,161/4,165/3,Barbados Tridents,7 wickets,161,4,165,3
1227891,"Brian Lara Stadium, Tarouba, Trinidad",27th Match,Tarouba,2020-09-05,Caribbean Premier League,Trinbago Knight Riders,St Lucia Zouks,175/5,152/7,Trinbago Knight Riders,23 runs,175,5,152,7
1227890,"Brian Lara Stadium, Tarouba, Trinidad",26th Match (D/N),Tarouba,2020-09-03,Caribbean Premier League,Barbados Tridents,Guyana Amazon Warriors,89/9,90/4,Guyana Amazon Warriors,6 wickets,89,9,90,4
1227889,"Brian Lara Stadium, Tarouba, Trinidad",25th Match,Tarouba,2020-09-03,Caribbean Premier League,St Kitts and Nevis Patriots,Jamaica Tallawahs,,,,,,,,
1227888,"Brian Lara Stadium, Tarouba, Trinidad",24th Match (D/N),Tarouba,2020-09-02,Caribbean Premier League,St Lucia Zouks,Guyana Amazon Warriors,109/7,110/3,Guyana Amazon Warriors,7 wickets,109,7,110,3
1227887,"Brian Lara Stadium, Tarouba, Trinidad",23rd Match,Tarouba,2020-09-02,Caribbean Premier League,Trinbago Knight Riders,St Kitts and Nevis Patriots,174/4,115/7,Trinbago Knight Riders,59 runs,174,4,115,7
1227886,"Brian Lara Stadium, Tarouba, Trinidad",22nd Match (D/N),Tarouba,2020-09-01,Caribbean Premier League,Barbados Tridents,Guyana Amazon Warriors,92,93/2,Guyana Amazon Warriors,8 wickets,92,10,93,2
1227885,"Brian Lara Stadium, Tarouba, Trinidad",21st Match,Tarouba,2020-09-01,Caribbean Premier League,Trinbago Knight Riders,Jamaica Tallawahs,184/4,165/6,Trinbago Knight Riders,19 runs,184,4,165,6
1227884,"Queen's Park Oval, Port of Spain, Trinidad",20th Match,Port of Spain,2020-08-30,Caribbean Premier League,St Kitts and Nevis Patriots,Guyana Amazon Warriors,150/5,153/3,Guyana Amazon Warriors,7 wickets,150,5,153,3
1227883,"Queen's Park Oval, Port of Spain, Trinidad",19th Match,Port of Spain,2020-08-30,Caribbean Premier League,St Lucia Zouks,Barbados Tridents,92,89/7,St Lucia Zouks,3 runs,92,10,89,7
1227882,"Queen's Park Oval, Port of Spain, Trinidad",18th Match,Port of Spain,2020-08-29,Caribbean Premier League,Jamaica Tallawahs,St Kitts and Nevis Patriots,147/6,110,Jamaica Tallawahs,37 runs,147,6,110,10
1227881,"Queen's Park Oval, Port of Spain, Trinidad",17th Match,Port of Spain,2020-08-29,Caribbean Premier League,Barbados Tridents,Trinbago Knight Riders,148/7,149/8,Trinbago Knight Riders,2 wickets,148,7,149,8
