name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Jeremiah Louis,False,False,Bowler,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2018,R,R,med,
Saad Bin Zafar,True,False,Allrounder,False,Left-hand bat,spin,St Kitts and Nevis Patriots,2018,L,L,slow,sla
Devon Thomas,False,False,Top-order batsman,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2018,R,R,med,
Rassie van der Dussen,True,False,Top-order batsman,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2018,R,R,slow,ls
Hayden Walsh,False,False,Bowler,False,Left-hand bat,spin,St Kitts and Nevis Patriots,2018,L,R,slow,ls
Graeme Cremer,False,True,Bowler,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2018,R,R,slow,ls
Mahmudullah,False,True,Allrounder,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2018,R,R,slow,os
Tabraiz Shamsi,False,True,Bowler,False,Right-hand bat,spin,St Kitts and Nevis Patriots,2018,R,L,slow,lls
Mark Chapman,True,False,Allrounder,False,Left-hand bat,spin,St Lucia Stars,2018,L,L,slow,sla
Rahkeem Cornwall,False,False,Allrounder,False,Right-hand bat,spin,St Lucia Stars,2018,R,R,slow,os
Niroshan Dickwella,True,False,Wicketkeeper batsman,True,Left-hand bat,,St Lucia Stars,2018,L,,,
Andre Fletcher,False,False,Top-order batsman,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,med,
Chandrapaul Hemraj,False,False,Opening batsman,False,Left-hand bat,spin,St Lucia Stars,2018,L,L,slow,sla
Kavem Hodge,False,False,Allrounder,False,Right-hand bat,spin,St Lucia Stars,2018,R,L,slow,sla
Mitchell McClenaghan,True,False,Bowler,False,Left-hand bat,seam,St Lucia Stars,2018,L,L,fast,
Jaskaran Malhotra,True,False,Wicketkeeper,True,Right-hand bat,spin,St Lucia Stars,2018,R,R,slow,ls
Mohammad Sami,True,False,Bowler,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,fast,
Kieron Pollard,False,False,Allrounder,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,med,
Qais Ahmad,True,False,Bowler,False,Right-hand bat,spin,St Lucia Stars,2018,R,R,slow,ls
Daren Sammy,False,False,Allrounder,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,med,
D'Arcy Short,False,False,Opening batsman,False,Left-hand bat,spin,St Lucia Stars,2018,L,L,slow,lls
Lendl Simmons,False,False,Top-order batsman,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,med,
Odean Smith,False,False,Bowler,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,med,
David Warner,False,False,Opening batsman,False,Left-hand bat,spin,St Lucia Stars,2018,L,R,slow,ls
Kesrick Williams,False,False,Bowler,False,Right-hand bat,seam,St Lucia Stars,2018,R,R,fast,
Rumman Raees,False,True,Bowler,False,Right-hand bat,seam,St Lucia Stars,2018,R,L,med,
Ali Khan,True,False,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,fast,
Dwayne Bravo,False,False,Allrounder,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,med,
Darren Bravo,False,False,Top-order batsman,False,Left-hand bat,seam,Trinbago Knight Riders,2018,L,R,med,
Kevon Cooper,False,False,Allrounder,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,med,
Fawad Ahmed,True,False,Bowler,False,Right-hand bat,spin,Trinbago Knight Riders,2018,R,R,slow,ls
Shannon Gabriel,False,False,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,fast,
Hamza Tariq,True,False,Wicketkeeper,True,Right-hand bat,,Trinbago Knight Riders,2018,R,,,
Colin Ingram,True,False,Top-order batsman,False,Left-hand bat,spin,Trinbago Knight Riders,2018,L,R,slow,ls
Amir Jangoo,False,False,Wicketkeeper batsman,True,Left-hand bat,,Trinbago Knight Riders,2018,L,,,
Chris Lynn,True,False,Batsman,False,Right-hand bat,spin,Trinbago Knight Riders,2018,R,L,slow,sla
Brendon McCullum,True,False,Wicketkeeper batsman,True,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,med,
Nikita Miller,False,False,Bowler,False,Right-hand bat,spin,Trinbago Knight Riders,2018,R,L,slow,sla
Colin Munro,True,False,Opening batsman,False,Left-hand bat,seam,Trinbago Knight Riders,2018,L,R,med,
Sunil Narine,False,False,Bowling allrounder,False,Left-hand bat,spin,Trinbago Knight Riders,2018,L,R,slow,os
Anderson Phillip,False,False,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,fast,
Denesh Ramdin,False,False,Wicketkeeper batsman,True,Right-hand bat,,Trinbago Knight Riders,2018,R,,,
Javon Searles,False,False,Bowling allrounder,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,fast,
Ronsford Beaton,False,True,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,fast,
Junior Dala,False,True,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2018,R,R,med,
Shadab Khan,False,True,Allrounder,False,Right-hand bat,spin,Trinbago Knight Riders,2018,R,R,slow,ls
Jason Holder,False,False,Bowling allrounder,False,Right-hand bat,seam,Barbados Tridents,2019,R,R,med,
Jonathan Carter,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2019,L,R,med,
Johnson Charles,False,False,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2019,R,,,
Daniel Christian,True,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2019,R,R,fast,
Jean-Paul Duminy,True,False,Batting allrounder,False,Left-hand bat,spin,Barbados Tridents,2019,L,R,slow,os
Justin Greaves,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2019,R,R,med,
Harry Gurney,True,False,Bowler,False,Right-hand bat,seam,Barbados Tridents,2019,R,L,fast,
Alex Hales,True,False,Opening batsman,False,Right-hand bat,seam,Barbados Tridents,2019,R,R,med,
Chemar Holder,False,False,Bowler,False,Right-hand bat,seam,Barbados Tridents,2019,R,R,fast,
Shai Hope,False,False,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2019,R,,,
Josh Lalor,True,False,Bowler,False,Right-hand bat,seam,Barbados Tridents,2019,R,L,fast,
Ashley Nurse,False,False,Bowler,False,Right-hand bat,spin,Barbados Tridents,2019,R,R,slow,os
Raymon Reifer,False,False,Allrounder,False,Left-hand bat,seam,Barbados Tridents,2019,L,L,med,
Phil Salt,True,False,Top-order batsman,False,Right-hand bat,spin,Barbados Tridents,2019,R,R,slow,os
Shakib Al Hasan,True,False,Allrounder,False,Left-hand bat,spin,Barbados Tridents,2019,L,L,slow,sla
Hayden Walsh,True,False,Bowler,False,Left-hand bat,spin,Barbados Tridents,2019,L,R,slow,ls
Asif Ali,False,True,Middle-order batsman,False,Right-hand bat,seam,Barbados Tridents,2019,R,R,med,
Imad Wasim,False,True,Allrounder,False,Left-hand bat,spin,Barbados Tridents,2019,L,L,slow,sla
Sandeep Lamichhane,False,True,Bowler,False,Right-hand bat,spin,Barbados Tridents,2019,R,R,slow,ls
Wahab Riaz,False,True,Bowler,False,Right-hand bat,seam,Barbados Tridents,2019,R,L,fast,
Anthony Bramble,False,False,Wicketkeeper batsman,True,Right-hand bat,,Guyana Amazon Warriors,2019,R,,,
Chris Green,True,False,Allrounder,False,Right-hand bat,spin,Guyana Amazon Warriors,2019,R,R,slow,os
Chandrapaul Hemraj,False,False,Opening batsman,False,Left-hand bat,spin,Guyana Amazon Warriors,2019,L,L,slow,sla
Shimron Hetmyer,False,False,Top-order batsman,False,Left-hand bat,,Guyana Amazon Warriors,2019,L,,,
Imran Tahir,True,False,Bowler,False,Right-hand bat,spin,Guyana Amazon Warriors,2019,R,R,slow,ls
Brandon King,False,False,Top-order batsman,False,Right-hand bat,,Guyana Amazon Warriors,2019,R,,,
Ben Laughlin,True,False,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2019,R,R,fast,
Keemo Paul,False,False,Allrounder,False,Right-hand bat,seam,Guyana Amazon Warriors,2019,R,R,fast,
Veerasammy Permaul,False,False,Bowler,False,Right-hand bat,spin,Guyana Amazon Warriors,2019,R,L,slow,sla
Nicholas Pooran,False,False,Wicketkeeper batsman,True,Left-hand bat,,Guyana Amazon Warriors,2019,L,,,
Qais Ahmad,True,False,Bowler,False,Right-hand bat,spin,Guyana Amazon Warriors,2019,R,R,slow,ls
Sherfane Rutherford,False,False,Middle-order batsman,False,Left-hand bat,seam,Guyana Amazon Warriors,2019,L,R,fast,
Shoaib Malik,True,False,Allrounder,False,Right-hand bat,spin,Guyana Amazon Warriors,2019,R,R,slow,os
Odean Smith,False,False,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2019,R,R,med,
Saurabh Netravalkar,False,True,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2019,R,L,fast,
Shadab Khan,False,True,Allrounder,False,Right-hand bat,spin,Guyana Amazon Warriors,2019,R,R,slow,ls
Jermaine Blackwood,False,False,Middle-order batsman,False,Right-hand bat,spin,Jamaica Tallawahs,2019,R,R,slow,os
Jade Dernbach,True,False,Bowler,False,Right-hand bat,seam,Jamaica Tallawahs,2019,R,R,fast,
Chris Gayle,False,False,Allrounder,False,Left-hand bat,spin,Jamaica Tallawahs,2019,L,R,slow,os
Steven Jacobs,False,False,Bowler,False,Right-hand bat,spin,Jamaica Tallawahs,2019,R,R,slow,os
Imran Khan,False,False,Bowler,False,Right-hand bat,spin,Jamaica Tallawahs,2019,R,R,slow,ls
Ramaal Lewis,False,False,Bowler,False,Right-hand bat,spin,Jamaica Tallawahs,2019,R,R,slow,os
Xavier Marshall,True,False,Opening batsman,False,Right-hand bat,spin,Jamaica Tallawahs,2019,R,R,slow,os
Glenn Phillips,False,False,Wicketkeeper batsman,True,Right-hand bat,,Jamaica Tallawahs,2019,R,,,
Rovman Powell,False,False,Middle-order batsman,False,Right-hand bat,seam,Jamaica Tallawahs,2019,R,R,med,
Andre Russell,False,False,Allrounder,False,Right-hand bat,seam,Jamaica Tallawahs,2019,R,R,fast,
Dwayne Smith,False,False,Allrounder,False,Right-hand bat,seam,Jamaica Tallawahs,2019,R,R,med,
Shamar Springer,False,False,Allrounder,False,Right-hand bat,seam,Jamaica Tallawahs,2019,R,R,fast,
Jerome Taylor,False,False,Bowler,False,Right-hand bat,seam,Jamaica Tallawahs,2019,R,R,fast,
Oshane Thomas,False,False,Bowler,False,Left-hand bat,seam,Jamaica Tallawahs,2019,L,R,fast,
Chadwick Walton,False,False,Top-order batsman,False,Right-hand bat,,Jamaica Tallawahs,2019,R,,,
George Worker,True,False,Batting allrounder,False,Left-hand bat,spin,Jamaica Tallawahs,2019,L,L,slow,sla
Zahir Khan,True,False,Bowler,False,Left-hand bat,spin,Jamaica Tallawahs,2019,L,L,slow,lls
Carlos Brathwaite,False,False,Allrounder,False,Right-hand bat,seam,St Kitts and Nevis Patriots,2019,R,R,fast,
