name,overseas,withdrawn,role,keeper,batting,bowling,team,year,batting_hand,bowling_arm,bowling_speed,bowling_type,spin_type
MS Dhoni,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Moeen Ali,True,False,Batting allrounder,False,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2021,L,R,slow,spin,os
KM Asif,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Dwayne Bravo,True,False,Allrounder,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Deepak Chahar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Sam Curran,True,False,Allrounder,False,Left-hand bat,Left-arm medium-fast,Chennai Super Kings,2021,L,L,med,seam,
Faf du Plessis,True,False,Middle-order batsman,False,Right-hand bat,Legbreak,Chennai Super Kings,2021,R,R,slow,spin,ls
Ruturaj Gaikwad,False,False,Batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2021,R,R,slow,spin,os
Krishnappa Gowtham,False,False,Bowling allrounder,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2021,R,R,slow,spin,os
Josh Hazlewood,True,False,Bowler,False,Left-hand bat,Right-arm fast-medium,Chennai Super Kings,2021,L,R,fast,seam,
Imran Tahir,True,False,Bowler,False,Right-hand bat,Legbreak googly,Chennai Super Kings,2021,R,R,slow,spin,ls
Ravindra Jadeja,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2021,L,L,slow,spin,sla
Narayan Jagadeesan,False,False,Opening batsman,False,Right-hand bat,,Chennai Super Kings,2021,R,,,,
Lungi Ngidi,True,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Chennai Super Kings,2021,R,R,fast,seam,
Cheteshwar Pujara,False,False,Top-order batsman,False,Right-hand bat,Legbreak,Chennai Super Kings,2021,R,R,slow,spin,ls
Suresh Raina,False,False,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2021,L,R,slow,spin,os
Ambati Rayudu,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2021,R,R,slow,spin,os
Harishankar Reddy,False,False,,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Mitchell Santner,True,False,Bowling allrounder,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2021,L,L,slow,spin,sla
Karn Sharma,False,False,Bowler,False,Left-hand bat,Legbreak googly,Chennai Super Kings,2021,L,R,slow,spin,ls
Shardul Thakur,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Robin Uthappa,False,False,Batsman,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Shreyas Iyer,False,False,Top-order batsman,False,Right-hand bat,Legbreak googly,Delhi Capitals,2021,R,R,slow,spin,ls
Ravichandran Ashwin,False,False,Bowling allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2021,R,R,slow,spin,os
Avesh Khan,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Delhi Capitals,2021,R,R,med,seam,
Sam Billings,True,False,Wicketkeeper batsman,True,Right-hand bat,,Delhi Capitals,2021,R,,,,
Tom Curran,True,False,Bowling allrounder,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2021,R,R,fast,seam,
Shikhar Dhawan,False,False,Opening batsman,False,Left-hand bat,Right-arm offbreak,Delhi Capitals,2021,L,R,slow,spin,os
Praveen Dubey,False,False,Bowler,False,Right-hand bat,Legbreak googly,Delhi Capitals,2021,R,R,slow,spin,ls
Shimron Hetmyer,True,False,Top-order batsman,False,Left-hand bat,,Delhi Capitals,2021,L,,,,
Amit Mishra,False,False,Bowler,False,Right-hand bat,Legbreak,Delhi Capitals,2021,R,R,slow,spin,ls
Anrich Nortje,True,False,Bowler,False,Right-hand bat,Right-arm fast,Delhi Capitals,2021,R,R,fast,seam,
Rishabh Pant,False,False,Wicketkeeper batsman,True,Left-hand bat,,Delhi Capitals,2021,L,,,,
Axar Patel,False,False,Bowling allrounder,False,Left-hand bat,Slow left-arm orthodox,Delhi Capitals,2021,L,L,slow,spin,sla
Ripal Patel,False,False,,False,Right-hand bat,Right-arm medium-fast,Delhi Capitals,2021,R,R,med,seam,
Kagiso Rabada,True,False,Bowler,False,Left-hand bat,Right-arm fast,Delhi Capitals,2021,L,R,fast,seam,
Ajinkya Rahane,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Delhi Capitals,2021,R,R,med,seam,
Ishant Sharma,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2021,R,R,fast,seam,
Prithvi Shaw,False,False,Opening batsman,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2021,R,R,slow,spin,os
Steven Smith,True,False,Middle-order batsman,False,Right-hand bat,Legbreak googly,Delhi Capitals,2021,R,R,slow,spin,ls
Marcus Stoinis,True,False,Middle-order batsman,False,Right-hand bat,Right-arm medium,Delhi Capitals,2021,R,R,med,seam,
Chris Woakes,True,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2021,R,R,fast,seam,
Lalit Yadav,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2021,R,R,slow,spin,os
Umesh Yadav,False,False,Bowler,False,Right-hand bat,Right-arm fast,Delhi Capitals,2021,R,R,fast,seam,
Eoin Morgan,False,False,Middle-order batsman,False,Left-hand bat,Right-arm medium,Kolkata Knight Riders,2021,L,R,med,seam,
Vaibhav Arora,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Kolkata Knight Riders,2021,R,R,fast,seam,
Pat Cummins,True,False,Bowler,False,Right-hand bat,Right-arm fast,Kolkata Knight Riders,2021,R,R,fast,seam,
Ben Cutting,True,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Kolkata Knight Riders,2021,R,R,fast,seam,
Lockie Ferguson,True,False,Bowler,False,Right-hand bat,Right-arm fast,Kolkata Knight Riders,2021,R,R,fast,seam,
Harbhajan Singh,False,False,Bowler,False,Right-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,R,R,slow,spin,os
Sheldon Jackson,False,False,Wicketkeeper batsman,True,Right-hand bat,,Kolkata Knight Riders,2021,R,,,,
Dinesh Karthik,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,R,R,slow,spin,os
Kuldeep Yadav,False,False,Bowler,False,Left-hand bat,Left-arm wrist-spin,Kolkata Knight Riders,2021,L,L,slow,spin,lls
Kamlesh Nagarkoti,False,False,Bowler,False,Right-hand bat,Right-arm fast,Kolkata Knight Riders,2021,R,R,fast,seam,
Karun Nair,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,R,R,slow,spin,os
Sunil Narine,True,False,Bowling allrounder,False,Left-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,L,R,slow,spin,os
Pawan Negi,False,False,Bowler,False,Left-hand bat,Slow left-arm orthodox,Kolkata Knight Riders,2021,L,L,slow,spin,sla
Prasidh Krishna,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Kolkata Knight Riders,2021,R,R,med,seam,
Nitish Rana,False,False,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,L,R,slow,spin,os
Andre Russell,True,False,Allrounder,False,Right-hand bat,Right-arm fast,Kolkata Knight Riders,2021,R,R,fast,seam,
Sandeep Warrier,False,False,Bowler,False,Right-hand bat,Right-arm medium,Kolkata Knight Riders,2021,R,R,med,seam,
Tim Seifert,True,False,Wicketkeeper batsman,True,Right-hand bat,,Kolkata Knight Riders,2021,R,,,,
Shakib Al Hasan,True,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Kolkata Knight Riders,2021,L,L,slow,spin,sla
Shivam Mavi,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Kolkata Knight Riders,2021,R,R,fast,seam,
Shubman Gill,False,False,Opening batsman,False,Right-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,R,R,slow,spin,os
Rinku Singh,False,False,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Kolkata Knight Riders,2021,L,R,slow,spin,os
Rahul Tripathi,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Kolkata Knight Riders,2021,R,R,med,seam,
Varun Chakravarthy,False,False,Bowler,False,Right-hand bat,Legbreak googly,Kolkata Knight Riders,2021,R,R,slow,spin,ls
Rohit Sharma,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Mumbai Indians,2021,R,R,slow,spin,os
Anmolpreet Singh,False,False,Batsman,False,Right-hand bat,Right-arm offbreak,Mumbai Indians,2021,R,R,slow,spin,os
Trent Boult,True,False,Bowler,False,Right-hand bat,Left-arm fast-medium,Mumbai Indians,2021,R,L,fast,seam,
Jasprit Bumrah,False,False,Bowler,False,Right-hand bat,Right-arm fast,Mumbai Indians,2021,R,R,fast,seam,
Rahul Chahar,False,False,Bowler,False,Right-hand bat,Legbreak googly,Mumbai Indians,2021,R,R,slow,spin,ls
Piyush Chawla,False,False,Bowling allrounder,False,Left-hand bat,Legbreak,Mumbai Indians,2021,L,R,slow,spin,ls
Nathan Coulter-Nile,True,False,Bowling allrounder,False,Right-hand bat,Right-arm fast,Mumbai Indians,2021,R,R,fast,seam,
Quinton de Kock,False,False,Wicketkeeper batsman,True,Left-hand bat,,Mumbai Indians,2021,L,,,,
Ishan Kishan,False,False,Wicketkeeper batsman,True,Left-hand bat,,Mumbai Indians,2021,L,,,,
Dhawal Kulkarni,False,False,Bowler,False,Right-hand bat,Right-arm medium,Mumbai Indians,2021,R,R,med,seam,
Chris Lynn,True,False,Batsman,False,Right-hand bat,Slow left-arm orthodox,Mumbai Indians,2021,R,L,slow,spin,sla
Adam Milne,True,False,Bowler,False,Right-hand bat,Right-arm fast,Mumbai Indians,2021,R,R,fast,seam,
James Neesham,True,False,Batting allrounder,False,Left-hand bat,Right-arm medium-fast,Mumbai Indians,2021,L,R,med,seam,
Hardik Pandya,False,False,Allrounder,False,Right-hand bat,Right-arm medium-fast,Mumbai Indians,2021,R,R,med,seam,
Krunal Pandya,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Mumbai Indians,2021,L,L,slow,spin,sla
Kieron Pollard,True,False,Allrounder,False,Right-hand bat,Right-arm medium,Mumbai Indians,2021,R,R,med,seam,
Anukul Roy,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Mumbai Indians,2021,L,L,slow,spin,sla
Aditya Tare,False,False,Wicketkeeper,True,Right-hand bat,,Mumbai Indians,2021,R,,,,
Saurabh Tiwary,False,False,Top-order batsman,False,Left-hand bat,,Mumbai Indians,2021,L,,,,
Jayant Yadav,False,False,Bowler,False,Right-hand bat,Right-arm offbreak,Mumbai Indians,2021,R,R,slow,spin,os
Suryakumar Yadav,False,False,Batsman,False,Right-hand bat,Right-arm medium,Mumbai Indians,2021,R,R,med,seam,
Yudhvir Singh,False,False,,False,Right-hand bat,Right-arm medium-fast,Mumbai Indians,2021,R,R,med,seam,
KL Rahul,False,False,Opening batsman,False,Right-hand bat,,Punjab Kings,2021,R,,,,
Mayank Agarwal,False,False,Batsman,False,Right-hand bat,Right-arm offbreak,Punjab Kings,2021,R,R,slow,spin,os
Fabian Allen,True,False,Bowling allrounder,False,Right-hand bat,Slow left-arm orthodox,Punjab Kings,2021,R,L,slow,spin,sla
Arshdeep Singh,False,False,Bowler,False,Left-hand bat,Left-arm medium-fast,Punjab Kings,2021,L,L,med,seam,
Murugan Ashwin,False,False,Bowler,False,Right-hand bat,Legbreak googly,Punjab Kings,2021,R,R,slow,spin,ls
Chris Gayle,True,False,Allrounder,False,Left-hand bat,Right-arm offbreak,Punjab Kings,2021,L,R,slow,spin,os
Moises Henriques,True,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Punjab Kings,2021,R,R,fast,seam,
Deepak Hooda,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Punjab Kings,2021,R,R,slow,spin,os
Chris Jordan,True,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Punjab Kings,2021,R,R,fast,seam,
Sarfaraz Khan,False,False,Middle-order batsman,False,Right-hand bat,Legbreak,Punjab Kings,2021,R,R,slow,spin,ls
Dawid Malan,True,False,Top-order batsman,False,Left-hand bat,Legbreak,Punjab Kings,2021,L,R,slow,spin,ls
Mandeep Singh,False,False,Allrounder,False,Right-hand bat,Right-arm medium,Punjab Kings,2021,R,R,med,seam,
Riley Meredith,True,False,Bowler,False,Right-hand bat,Right-arm fast,Punjab Kings,2021,R,R,fast,seam,
Mohammed Shami,False,False,Bowler,False,Right-hand bat,Right-arm fast,Punjab Kings,2021,R,R,fast,seam,
Nicholas Pooran,True,False,Wicketkeeper batsman,True,Left-hand bat,,Punjab Kings,2021,L,,,,
Ishan Porel,False,False,Bowler,False,Right-hand bat,Right-arm medium,Punjab Kings,2021,R,R,med,seam,
Ravi Bishnoi,False,False,Bowler,False,Right-hand bat,Legbreak googly,Punjab Kings,2021,R,R,slow,spin,ls
Jhye Richardson,True,False,Bowler,False,Right-hand bat,Right-arm fast,Punjab Kings,2021,R,R,fast,seam,
Saurabh Kumar,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Punjab Kings,2021,L,L,slow,spin,sla
Jalaj Saxena,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Punjab Kings,2021,R,R,slow,spin,os
Akash Singh,False,False,,False,Right-hand bat,,Rajasthan Royals,2021,R,,,,
Jofra Archer,True,False,Bowler,False,Right-hand bat,Right-arm fast,Rajasthan Royals,2021,R,R,fast,seam,
Jos Buttler,True,False,Wicketkeeper batsman,True,Right-hand bat,,Rajasthan Royals,2021,R,,,,
KC Cariappa,False,False,Bowler,False,Right-hand bat,Legbreak,Rajasthan Royals,2021,R,R,slow,spin,ls
Shivam Dube,False,False,Allrounder,False,Left-hand bat,Right-arm medium,Rajasthan Royals,2021,L,R,med,seam,
Shreyas Gopal,False,False,Allrounder,False,Right-hand bat,Legbreak,Rajasthan Royals,2021,R,R,slow,spin,ls
Yashasvi Jaiswal,False,False,Opening batsman,False,Left-hand bat,Legbreak,Rajasthan Royals,2021,L,R,slow,spin,ls
Kartik Tyagi,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Rajasthan Royals,2021,R,R,med,seam,
Liam Livingstone,True,False,Batsman,False,Right-hand bat,Right-arm offbreak,Rajasthan Royals,2021,R,R,slow,spin,os
Mahipal Lomror,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Rajasthan Royals,2021,L,L,slow,spin,sla
Mayank Markande,False,False,Bowler,False,Right-hand bat,Legbreak,Rajasthan Royals,2021,R,R,slow,spin,ls
David Miller,True,False,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Rajasthan Royals,2021,L,R,slow,spin,os
Chris Morris,True,False,Bowling allrounder,False,Right-hand bat,Right-arm fast-medium,Rajasthan Royals,2021,R,R,fast,seam,
Mustafizur Rahman,True,False,Bowler,False,Left-hand bat,Left-arm fast-medium,Rajasthan Royals,2021,L,L,fast,seam,
Riyan Parag,False,False,Top-order batsman,False,Right-hand bat,Legbreak,Rajasthan Royals,2021,R,R,slow,spin,ls
Chetan Sakariya,False,False,,False,Left-hand bat,Left-arm medium-fast,Rajasthan Royals,2021,L,L,med,seam,
Sanju Samson,False,False,Wicketkeeper batsman,True,Right-hand bat,,Rajasthan Royals,2021,R,,,,
Ben Stokes,True,False,Allrounder,False,Left-hand bat,Right-arm fast-medium,Rajasthan Royals,2021,L,R,fast,seam,
Rahul Tewatia,False,False,Bowler,False,Left-hand bat,Legbreak,Rajasthan Royals,2021,L,R,slow,spin,ls
Andrew Tye,True,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Rajasthan Royals,2021,R,R,med,seam,
Jaydev Unadkat,False,False,Bowler,False,Right-hand bat,Left-arm medium,Rajasthan Royals,2021,R,L,med,seam,
Manan Vohra,False,False,Opening batsman,False,Right-hand bat,Right-arm medium,Rajasthan Royals,2021,R,R,med,seam,
Virat Kohli,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2021,R,R,med,seam,
Srikar Bharat,False,False,,False,Right-hand bat,,Royal Challengers Bangalore,2021,R,,,,
Yuzvendra Chahal,False,False,Bowler,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2021,R,R,slow,spin,ls
Daniel Christian,True,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2021,R,R,fast,seam,
Pavan Deshpande,False,False,Allrounder,False,Left-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2021,L,R,slow,spin,os
AB de Villiers,True,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2021,R,R,med,seam,
Kyle Jamieson,True,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2021,R,R,fast,seam,
Glenn Maxwell,True,False,Batting allrounder,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2021,R,R,slow,spin,os
Mohammed Azharuddeen,False,False,,False,Right-hand bat,,Royal Challengers Bangalore,2021,R,,,,
Mohammed Siraj,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2021,R,R,med,seam,
Devdutt Padikkal,False,False,Top-order batsman,False,Left-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2021,L,R,slow,spin,os
Josh Philippe,True,False,Wicketkeeper batsman,True,Right-hand bat,,Royal Challengers Bangalore,2021,R,,,,
Kane Richardson,True,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2021,R,R,fast,seam,
Sachin Baby,False,False,Batsman,False,Left-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2021,L,R,slow,spin,os
Shahbaz Ahmed,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2021,L,L,slow,spin,sla
Navdeep Saini,False,False,Bowler,False,Right-hand bat,Right-arm fast,Royal Challengers Bangalore,2021,R,R,fast,seam,
Daniel Sams,True,False,Allrounder,False,Right-hand bat,Left-arm fast-medium,Royal Challengers Bangalore,2021,R,L,fast,seam,
Washington Sundar,False,False,Bowling allrounder,False,Left-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2021,L,R,slow,spin,os
Adam Zampa,True,False,Bowler,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2021,R,R,slow,spin,ls
David Warner,False,False,Opening batsman,False,Left-hand bat,Legbreak,Sunrisers Hyderabad,2021,L,R,slow,spin,ls
Abdul Samad,False,False,Batsman,False,Right-hand bat,Legbreak,Sunrisers Hyderabad,2021,R,R,slow,spin,ls
Abhishek Sharma,False,False,Bowler,False,Left-hand bat,Slow left-arm orthodox,Sunrisers Hyderabad,2021,L,L,slow,spin,sla
Khaleel Ahmed,False,False,Bowler,False,Right-hand bat,Left-arm medium,Sunrisers Hyderabad,2021,R,L,med,seam,
Jonny Bairstow,True,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Basil Thampi,False,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Sunrisers Hyderabad,2021,R,R,fast,seam,
Priyam Garg,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Shreevats Goswami,False,False,Wicketkeeper batsman,True,Left-hand bat,,Sunrisers Hyderabad,2021,L,,,,
Jason Holder,True,False,Bowling allrounder,False,Right-hand bat,Right-arm medium-fast,Sunrisers Hyderabad,2021,R,R,med,seam,
Kedar Jadhav,False,False,Batting allrounder,False,Right-hand bat,Right-arm offbreak,Sunrisers Hyderabad,2021,R,R,slow,spin,os
Siddarth Kaul,False,False,Bowler,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Bhuvneshwar Kumar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Mitchell Marsh,True,False,Allrounder,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Mohammad Nabi,True,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Sunrisers Hyderabad,2021,R,R,slow,spin,os
Mujeeb Ur Rahman,True,False,Bowler,False,Right-hand bat,Right-arm offbreak,Sunrisers Hyderabad,2021,R,R,slow,spin,os
Shahbaz Nadeem,False,False,Bowler,False,Right-hand bat,Slow left-arm orthodox,Sunrisers Hyderabad,2021,R,L,slow,spin,sla
T Natarajan,False,False,Bowler,False,Left-hand bat,Left-arm medium,Sunrisers Hyderabad,2021,L,L,med,seam,
Manish Pandey,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Rashid Khan,True,False,Bowler,False,Right-hand bat,Legbreak googly,Sunrisers Hyderabad,2021,R,R,slow,spin,ls
Wriddhiman Saha,False,False,Wicketkeeper batsman,True,Right-hand bat,,Sunrisers Hyderabad,2021,R,,,,
Sandeep Sharma,False,False,Bowler,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Vijay Shankar,False,False,Allrounder,False,Right-hand bat,Right-arm medium,Sunrisers Hyderabad,2021,R,R,med,seam,
Jagadeesha Suchith,False,False,Bowler,False,Left-hand bat,Slow left-arm orthodox,Sunrisers Hyderabad,2021,L,L,slow,spin,sla
Kane Williamson,True,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Sunrisers Hyderabad,2021,R,R,slow,spin,os
MS Dhoni,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Chennai Super Kings,2020,R,R,med,seam,
KM Asif,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2020,R,R,med,seam,
Deepak Chahar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2020,R,R,med,seam,
Piyush Chawla,False,False,Bowling allrounder,False,Left-hand bat,Legbreak,Chennai Super Kings,2020,L,R,slow,spin,ls
Sam Curran,True,False,Allrounder,False,Left-hand bat,Left-arm medium-fast,Chennai Super Kings,2020,L,L,med,seam,
Faf du Plessis,True,False,Middle-order batsman,False,Right-hand bat,Legbreak,Chennai Super Kings,2020,R,R,slow,spin,ls
Ruturaj Gaikwad,False,False,Batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2020,R,R,slow,spin,os
Josh Hazlewood,True,False,Bowler,False,Left-hand bat,Right-arm fast-medium,Chennai Super Kings,2020,L,R,fast,seam,
Imran Tahir,True,False,Bowler,False,Right-hand bat,Legbreak googly,Chennai Super Kings,2020,R,R,slow,spin,ls
Ravindra Jadeja,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2020,L,L,slow,spin,sla
Kedar Jadhav,False,False,Batting allrounder,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2020,R,R,slow,spin,os
Narayan Jagadeesan,False,False,Opening batsman,False,Right-hand bat,,Chennai Super Kings,2020,R,,,,
Monu Kumar,False,False,Bowling allrounder,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2020,R,R,med,seam,
Lungi Ngidi,True,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Chennai Super Kings,2020,R,R,fast,seam,
Ambati Rayudu,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2020,R,R,slow,spin,os
Mitchell Santner,True,False,Bowling allrounder,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2020,L,L,slow,spin,sla
Karn Sharma,False,False,Bowler,False,Left-hand bat,Legbreak googly,Chennai Super Kings,2020,L,R,slow,spin,ls
Shardul Thakur,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2020,R,R,med,seam,
Murali Vijay,False,False,Opening batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2020,R,R,slow,spin,os
Shane Watson,True,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Chennai Super Kings,2020,R,R,fast,seam,
Dwayne Bravo,False,True,Allrounder,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2020,R,R,med,seam,
Harbhajan Singh,False,True,Bowler,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2020,R,R,slow,spin,os
Suresh Raina,False,True,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2020,L,R,slow,spin,os
Shreyas Iyer,False,False,Top-order batsman,False,Right-hand bat,Legbreak googly,Delhi Capitals,2020,R,R,slow,spin,ls
Ravichandran Ashwin,False,False,Bowling allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2020,R,R,slow,spin,os
Avesh Khan,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Delhi Capitals,2020,R,R,med,seam,
Alex Carey,True,False,Wicketkeeper batsman,True,Left-hand bat,,Delhi Capitals,2020,L,,,,
Tushar Deshpande,False,False,Bowler,False,Left-hand bat,Right-arm medium,Delhi Capitals,2020,L,R,med,seam,
Shikhar Dhawan,False,False,Opening batsman,False,Left-hand bat,Right-arm offbreak,Delhi Capitals,2020,L,R,slow,spin,os
Praveen Dubey,False,False,Bowler,False,Right-hand bat,Legbreak googly,Delhi Capitals,2020,R,R,slow,spin,ls
Shimron Hetmyer,True,False,Top-order batsman,False,Left-hand bat,,Delhi Capitals,2020,L,,,,
Sandeep Lamichhane,True,False,Bowler,False,Right-hand bat,Legbreak googly,Delhi Capitals,2020,R,R,slow,spin,ls
Anrich Nortje,True,False,Bowler,False,Right-hand bat,Right-arm fast,Delhi Capitals,2020,R,R,fast,seam,
Rishabh Pant,False,False,Wicketkeeper batsman,True,Left-hand bat,,Delhi Capitals,2020,L,,,,
Axar Patel,False,False,Bowling allrounder,False,Left-hand bat,Slow left-arm orthodox,Delhi Capitals,2020,L,L,slow,spin,sla
Harshal Patel,False,False,Bowler,False,Right-hand bat,Right-arm medium,Delhi Capitals,2020,R,R,med,seam,
Keemo Paul,True,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2020,R,R,fast,seam,
Kagiso Rabada,True,False,Bowler,False,Left-hand bat,Right-arm fast,Delhi Capitals,2020,L,R,fast,seam,
Ajinkya Rahane,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Delhi Capitals,2020,R,R,med,seam,
Daniel Sams,True,False,Allrounder,False,Right-hand bat,Left-arm fast-medium,Delhi Capitals,2020,R,L,fast,seam,
Mohit Sharma,False,False,Bowler,False,Right-hand bat,Right-arm medium,Delhi Capitals,2020,R,R,med,seam,
Prithvi Shaw,False,False,Opening batsman,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2020,R,R,slow,spin,os
Marcus Stoinis,True,False,Middle-order batsman,False,Right-hand bat,Right-arm medium,Delhi Capitals,2020,R,R,med,seam,
Lalit Yadav,False,False,Allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2020,R,R,slow,spin,os
Amit Mishra,False,True,Bowler,False,Right-hand bat,Legbreak,Delhi Capitals,2020,R,R,slow,spin,ls
Jason Roy,False,True,Opening batsman,False,Right-hand bat,,Delhi Capitals,2020,R,,,,
Ishant Sharma,False,True,Bowler,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2020,R,R,fast,seam,
Chris Woakes,False,True,Allrounder,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2020,R,R,fast,seam,
