name,overseas,withdrawn,role,keeper,batting,bowling,team,year,batting_hand,bowling_arm,bowling_speed,bowling_type,spin_type
Dimitri Mascarenhas,False,True,Allrounder,False,Right-hand bat,Right-arm fast-medium,Rajasthan Royals,2009,R,R,fast,seam,
Anil Kumble,False,False,Bowler,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2009,R,R,slow,spin,ls
Balachandra Akhil,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2009,R,R,med,seam,
KP Appanna,False,False,,False,Right-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2009,R,L,slow,spin,sla
Sreenath Aravind,False,False,Bowler,False,Left-hand bat,Left-arm medium-fast,Royal Challengers Bangalore,2009,L,L,med,seam,
Jagadeesh Arunkumar,False,False,,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Saurabh Bandekar,False,False,Allrounder,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2009,R,R,med,seam,
Rajesh Bishnoi,False,False,,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2009,R,R,med,seam,
Mark Boucher,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Nathan Bracken,False,False,Bowler,False,Right-hand bat,Left-arm fast-medium,Royal Challengers Bangalore,2009,R,L,fast,seam,
Bharat Chipli,False,False,Batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Gaurav Dhiman,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2009,R,R,fast,seam,
Rahul Dravid,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Dillon du Preez,False,False,,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2009,R,R,fast,seam,
Chidhambaram Gautam,False,False,Wicketkeeper,True,Right-hand bat,,Royal Challengers Bangalore,2009,R,,,,
Shreevats Goswami,False,False,Wicketkeeper batsman,True,Left-hand bat,,Royal Challengers Bangalore,2009,L,,,,
Kedar Jadhav,False,False,Batting allrounder,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Wasim Jaffer,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Ishank Jaggi,False,False,Batsman,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2009,R,R,slow,spin,ls
Sunil Joshi,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Royal Challengers Bangalore,2009,L,L,slow,spin,sla
Jacques Kallis,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2009,R,R,fast,seam,
Virat Kohli,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Bhuvneshwar Kumar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Praveen Kumar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Abhimanyu Mithun,False,False,Bowler,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Manish Pandey,False,False,Top-order batsman,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,R,R,med,seam,
Pankaj Singh,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2009,R,R,med,seam,
Udit Patel,False,False,,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2009,R,R,slow,spin,os
Devraj Patil,False,False,,False,Right-hand bat,,Royal Challengers Bangalore,2009,R,,,,
Jesse Ryder,False,False,Allrounder,False,Left-hand bat,Right-arm medium,Royal Challengers Bangalore,2009,L,R,med,seam,
Karn Sharma,False,False,Bowler,False,Left-hand bat,Legbreak googly,Royal Challengers Bangalore,2009,L,R,slow,spin,ls
