name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Kamran Akmal,False,False,Wicketkeeper batsman,True,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Dawid Malan,True,False,Top-order batsman,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Mohammad Asghar,False,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Mohammad Hafeez,False,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Daren Sammy,True,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Shahid Afridi,False,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Shahid Yousaf,False,False,Batsman,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Shaun Tait,True,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Tamim Iqbal,True,False,Opening batsman,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Wahab Riaz,False,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Chris Jordan,False,True,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Brad Hodge,False,False,Top-order batsman,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Israrullah,False,False,,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Taj Wali,False,False,,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Grant Elliott,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Nathan McCullum,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Sarfaraz Ahmed,False,False,Wicketkeeper batsman,True,Right-hand bat,,Quetta Gladiators,2015,R,,,
Ahmed Shehzad,False,False,Opening batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Anwar Ali,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Asad Shafiq,False,False,Middle-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Bilal Asif,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Bismillah Khan,False,False,Wicketkeeper batsman,True,Right-hand bat,,Quetta Gladiators,2015,R,,,
Elton Chigumbura,True,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Mohammad Nabi,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Mohammad Nawaz,False,False,Allrounder,False,Left-hand bat,,Quetta Gladiators,2015,L,,,
Kevin Pietersen,True,False,Top-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Saad Nasim,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Umar Gul,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Luke Wright,True,False,Top-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Zulfiqar Babar,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Jason Holder,False,True,Bowling allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Aizaz Cheema,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Rameez Raja,False,False,Top-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Kumar Sangakkara,False,False,Wicketkeeper batsman,True,Left-hand bat,,Quetta Gladiators,2015,L,,,
Babar Azam,False,False,Batsman,False,Right-hand bat,,Islamabad United,2015,R,,,
Samuel Badree,True,False,Bowler,False,Right-hand bat,,Islamabad United,2015,R,,,
Sam Billings,True,False,Wicketkeeper batsman,True,Right-hand bat,,Islamabad United,2015,R,,,
Brad Haddin,True,False,Wicketkeeper batsman,True,Right-hand bat,,Islamabad United,2015,R,,,
Kamran Ghulam,False,False,,False,Right-hand bat,,Islamabad United,2015,R,,,
Khalid Latif,False,False,Top-order batsman,False,Right-hand bat,,Islamabad United,2015,R,,,
Misbah-ul-Haq,False,False,Middle-order batsman,False,Right-hand bat,,Islamabad United,2015,R,,,
Mohammad Irfan,False,False,Bowler,False,Right-hand bat,,Islamabad United,2015,R,,,
Mohammad Sami,False,False,Bowler,False,Right-hand bat,,Islamabad United,2015,R,,,
Rumman Raees,False,False,Bowler,False,Right-hand bat,,Islamabad United,2015,R,,,
Andre Russell,True,False,Allrounder,False,Right-hand bat,,Islamabad United,2015,R,,,
Sharjeel Khan,False,False,Opening batsman,False,Left-hand bat,,Islamabad United,2015,L,,,
Umar Amin,False,False,Top-order batsman,False,Left-hand bat,,Islamabad United,2015,L,,,
Shane Watson,True,False,Allrounder,False,Right-hand bat,,Islamabad United,2015,R,,,
Ashar Zaidi,False,False,,False,Left-hand bat,,Islamabad United,2015,L,,,
Saeed Ajmal,False,False,Bowler,False,Right-hand bat,,Islamabad United,2015,R,,,
Umar Siddiq,False,False,Opening batsman,False,Left-hand bat,,Islamabad United,2015,L,,,
Shoaib Malik,False,False,Allrounder,False,Right-hand bat,,Karachi Kings,2015,R,,,
Bilawal Bhatti,False,False,Bowler,False,Right-hand bat,,Karachi Kings,2015,R,,,
Ravi Bopara,True,False,Batting allrounder,False,Right-hand bat,,Karachi Kings,2015,R,,,
Iftikhar Ahmed,False,False,Middle-order batsman,False,Right-hand bat,,Karachi Kings,2015,R,,,
Imad Wasim,False,False,Allrounder,False,Left-hand bat,,Karachi Kings,2015,L,,,
Mir Hamza,False,False,Bowler,False,Left-hand bat,,Karachi Kings,2015,L,,,
Mohammad Amir,False,False,Bowler,False,Left-hand bat,,Karachi Kings,2015,L,,,
Mushfiqur Rahim,True,False,Wicketkeeper batsman,True,Right-hand bat,,Karachi Kings,2015,R,,,
Nauman Anwar,False,False,Opening batsman,False,Right-hand bat,,Karachi Kings,2015,R,,,
Saifullah Bangash,False,False,Wicketkeeper batsman,True,Right-hand bat,,Karachi Kings,2015,R,,,
Shakib Al Hasan,True,False,Allrounder,False,Left-hand bat,,Karachi Kings,2015,L,,,
Lendl Simmons,True,False,Top-order batsman,False,Right-hand bat,,Karachi Kings,2015,R,,,
Sohail Khan,False,False,Bowler,False,Right-hand bat,,Karachi Kings,2015,R,,,
Sohail Tanvir,False,False,Bowler,False,Left-hand bat,,Karachi Kings,2015,L,,,
Usama Mir,False,False,Bowler,False,Right-hand bat,,Karachi Kings,2015,R,,,
James Vince,True,False,Batsman,False,Right-hand bat,,Karachi Kings,2015,R,,,
Tillakaratne Dilshan,False,False,Allrounder,False,Right-hand bat,,Karachi Kings,2015,R,,,
Fawad Alam,False,False,Top-order batsman,False,Left-hand bat,,Karachi Kings,2015,L,,,
Shahzaib Hasan,False,False,Opening batsman,False,Right-hand bat,,Karachi Kings,2015,R,,,
Adnan Rasool,False,False,,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Azhar Ali,False,False,Top-order batsman,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Dwayne Bravo,True,False,Allrounder,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Kevon Cooper,True,False,Allrounder,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Cameron Delport,True,False,Top-order batsman,False,Left-hand bat,,Lahore Qalandars,2015,L,,,
Chris Gayle,True,False,Allrounder,False,Left-hand bat,,Lahore Qalandars,2015,L,,,
Hammad Azam,False,False,Middle-order batsman,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Mohammad Rizwan,False,False,Wicketkeeper batsman,True,Right-hand bat,,Lahore Qalandars,2015,R,,,
Mustafizur Rahman,True,False,Bowler,False,Left-hand bat,,Lahore Qalandars,2015,L,,,
Sohaib Maqsood,False,False,Middle-order batsman,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Umar Akmal,False,False,Middle-order batsman,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Yasir Shah,False,False,Bowler,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Zafar Gohar,False,False,Bowler,False,Left-hand bat,,Lahore Qalandars,2015,L,,,
Zia-ul-Haq,False,False,,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Abdul Razzaq,False,False,Allrounder,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Ehsan Adil,False,False,Bowler,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Imran Butt,False,False,Top-order batsman,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Mukhtar Ahmed,False,False,Opening batsman,False,Right-hand bat,,Lahore Qalandars,2015,R,,,
Aamer Yamin,False,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Abdur Rehman,False,False,Bowler,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Jim Allenby,True,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Jonny Bairstow,True,False,Wicketkeeper batsman,True,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Hasan Ali,False,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Junaid Khan,False,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Kamran Akmal,False,False,Wicketkeeper batsman,True,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Dawid Malan,True,False,Top-order batsman,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Mohammad Asghar,False,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Mohammad Hafeez,False,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Daren Sammy,True,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Shahid Afridi,False,False,Allrounder,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Shahid Yousaf,False,False,Batsman,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Shaun Tait,True,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Tamim Iqbal,True,False,Opening batsman,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Wahab Riaz,False,False,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Chris Jordan,False,True,Bowler,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Brad Hodge,False,False,Top-order batsman,False,Right-hand bat,,Peshawar Zalmi,2015,R,,,
Israrullah,False,False,,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Taj Wali,False,False,,False,Left-hand bat,,Peshawar Zalmi,2015,L,,,
Grant Elliott,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Nathan McCullum,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Sarfaraz Ahmed,False,False,Wicketkeeper batsman,True,Right-hand bat,,Quetta Gladiators,2015,R,,,
Ahmed Shehzad,False,False,Opening batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Anwar Ali,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Asad Shafiq,False,False,Middle-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Bilal Asif,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Bismillah Khan,False,False,Wicketkeeper batsman,True,Right-hand bat,,Quetta Gladiators,2015,R,,,
Elton Chigumbura,True,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Mohammad Nabi,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Mohammad Nawaz,False,False,Allrounder,False,Left-hand bat,,Quetta Gladiators,2015,L,,,
Kevin Pietersen,True,False,Top-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Saad Nasim,False,False,Allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Umar Gul,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Luke Wright,True,False,Top-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Zulfiqar Babar,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Jason Holder,False,True,Bowling allrounder,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Aizaz Cheema,False,False,Bowler,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Rameez Raja,False,False,Top-order batsman,False,Right-hand bat,,Quetta Gladiators,2015,R,,,
Kumar Sangakkara,False,False,Wicketkeeper batsman,True,Left-hand bat,,Quetta Gladiators,2015,L,,,
