match_id,year,id,over,ball,runs,extras,extra_type,batter,batter_runs,batter_balls,batter_sr,nonstriker,nonstriker_runs,nonstriker_balls,nonstriker_sr,bowler,batter_out,wicket_type,team,team_code,innings_runs,innings_wickets,innings_balls
1136620,2018,119070,19,6,0,0,,Carlos Brathwaite,21,11,190.91,Yusuf Pathan,45,25,180.0,Shardul Thakur,CR Brathwaite,CR Brathwaite c Rayudu b Thakur 21 (11b 0x4 3x6) SR: 190.90,Sunrisers Hyderabad,SRH,178,5,119
1136620,2018,119060,19,5,6,0,,Carlos Brathwaite,21,10,210.0,Yusuf Pathan,45,25,180.0,Shardul Thakur,,,Sunrisers Hyderabad,SRH,172,5,118
1136620,2018,13060,3,6,0,0,,Kane Williamson,3,10,30.0,Shikhar Dhawan,8,10,80.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,17,1,23
1136620,2018,13050,3,5,0,0,,Kane Williamson,3,9,33.33,Shikhar Dhawan,8,10,80.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,17,1,22
1136620,2018,13040,3,4,0,0,,Kane Williamson,3,8,37.5,Shikhar Dhawan,8,10,80.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,17,1,21
1136620,2018,13030,3,3,0,0,,Kane Williamson,3,7,42.86,Shikhar Dhawan,8,10,80.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,17,1,20
1136620,2018,13020,3,2,0,0,,Kane Williamson,3,6,50.0,Shikhar Dhawan,8,10,80.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,17,1,19
1136620,2018,13010,3,1,0,0,,Kane Williamson,3,5,60.0,Shikhar Dhawan,8,10,80.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,17,1,18
1136620,2018,12060,2,6,0,0,,Shikhar Dhawan,8,10,80.0,Kane Williamson,3,4,75.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,17,1,17
1136620,2018,12050,2,5,1,0,,Kane Williamson,3,4,75.0,Shikhar Dhawan,8,9,88.89,Deepak Chahar,,,Sunrisers Hyderabad,SRH,16,1,16
1136620,2018,12040,2,4,1,0,,Shikhar Dhawan,8,9,88.89,Kane Williamson,2,3,66.67,Deepak Chahar,,,Sunrisers Hyderabad,SRH,15,1,15
1136620,2018,12030,2,3,0,0,,Shikhar Dhawan,7,8,87.5,Kane Williamson,2,3,66.67,Deepak Chahar,,,Sunrisers Hyderabad,SRH,15,1,14
1136620,2018,12020,2,2,1,0,,Kane Williamson,2,3,66.67,Shikhar Dhawan,7,7,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,14,1,13
1136620,2018,12010,2,1,0,0,,Kane Williamson,1,2,50.0,Shikhar Dhawan,7,7,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,14,1,12
1136620,2018,11060,1,6,1,0,,Kane Williamson,1,1,100.0,Shikhar Dhawan,7,7,100.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,13,1,11
1136620,2018,11050,1,5,1,0,,Shreevats Goswami,5,5,100.0,Shikhar Dhawan,7,7,100.0,Lungi Ngidi,SP Goswami,SP Goswami run out (Sharma/&dagger;Dhoni) 5 (5b 0x4 0x6) SR: 100.00,Sunrisers Hyderabad,SRH,12,0,10
1136620,2018,11040,1,4,1,0,,Shikhar Dhawan,7,7,100.0,Shreevats Goswami,4,4,100.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,11,0,9
1136620,2018,11030,1,3,0,0,,Shikhar Dhawan,6,6,100.0,Shreevats Goswami,4,4,100.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,11,0,8
1136620,2018,11020,1,2,4,0,,Shikhar Dhawan,6,5,120.0,Shreevats Goswami,4,4,100.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,7,0,7
1136620,2018,11010,1,1,1,0,,Shreevats Goswami,4,4,100.0,Shikhar Dhawan,2,4,50.0,Lungi Ngidi,,,Sunrisers Hyderabad,SRH,6,0,6
1136620,2018,170,0,6,0,0,,Shikhar Dhawan,2,4,50.0,Shreevats Goswami,3,3,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,6,0,5
1136620,2018,160,0,5,1,0,,Shreevats Goswami,3,3,100.0,Shikhar Dhawan,2,3,66.67,Deepak Chahar,,,Sunrisers Hyderabad,SRH,5,0,4
1136620,2018,150,0,4,1,0,,Shikhar Dhawan,2,3,66.67,Shreevats Goswami,2,2,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,4,0,3
1136620,2018,140,0,3,0,0,,Shikhar Dhawan,1,2,50.0,Shreevats Goswami,2,2,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,4,0,2
1136620,2018,130,0,2,1,0,,Shreevats Goswami,2,2,100.0,Shikhar Dhawan,1,1,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,3,0,1
1136620,2018,120,0,1,1,0,,Shikhar Dhawan,1,1,100.0,Shreevats Goswami,1,1,100.0,Deepak Chahar,,,Sunrisers Hyderabad,SRH,2,0,0
