match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
419165,"Dr DY Patil Sports Academy, Mumbai",Final (N),Mumbai,2010-04-25,Indian Premier League,Chennai Super Kings,Mumbai Indians,168/5,146/9,Chennai Super Kings,22 runs,168,5,146,9
419164,"Dr DY Patil Sports Academy, Mumbai",3rd Place Play-off (N),Mumbai,2010-04-24,Indian Premier League,Deccan Chargers,Royal Challengers Bangalore,82,86/1,Royal Challengers Bangalore,9 wickets,82,10,86,1
419163,"Dr DY Patil Sports Academy, Mumbai",2nd Semi-Final (N),Mumbai,2010-04-22,Indian Premier League,Chennai Super Kings,Deccan Chargers,142/7,104,Chennai Super Kings,38 runs,142,7,104,10
419162,"Dr DY Patil Sports Academy, Mumbai",1st Semi-Final (N),Mumbai,2010-04-21,Indian Premier League,Mumbai Indians,Royal Challengers Bangalore,184/5,149/9,Mumbai Indians,35 runs,184,5,149,9
419161,"Eden Gardens, Kolkata",56th match (N),Kolkata,2010-04-19,Indian Premier League,Mumbai Indians,Kolkata Knight Riders,133/8,135/1,Kolkata Knight Riders,9 wickets,133,8,135,1
419160,"Arun Jaitley Stadium, Delhi",55th match (N),Delhi,2010-04-18,Indian Premier League,Deccan Chargers,Delhi Daredevils,145/7,134/7,Deccan Chargers ,11 runs,145,7,134,7
419159,"Himachal Pradesh Cricket Association Stadium, Dharamsala",54th match (D/N),Dharamsala,2010-04-18,Indian Premier League,Kings XI Punjab,Chennai Super Kings,192/3,195/4,Chennai Super Kings,6 wickets,192,3,195,4
419158,"Eden Gardens, Kolkata",53rd match (N),Kolkata,2010-04-17,Indian Premier League,Rajasthan Royals,Kolkata Knight Riders,132/9,133/2,Kolkata Knight Riders,8 wickets,132,9,133,2
419157,"M.Chinnaswamy Stadium, Bengaluru",52nd match (D/N),Bengaluru,2010-04-17,Indian Premier League,Mumbai Indians,Royal Challengers Bangalore,191/4,134/9,Mumbai Indians,57 runs,191,4,134,9
419156,"Himachal Pradesh Cricket Association Stadium, Dharamsala",51st match (N),Dharamsala,2010-04-16,Indian Premier League,Kings XI Punjab,Deccan Chargers,174/3,178/5,Deccan Chargers ,5 wickets,174,3,178,5
419155,"MA Chidambaram Stadium, Chepauk, Chennai",50th match (N),Chennai,2010-04-15,Indian Premier League,Chennai Super Kings,Delhi Daredevils,112/9,113/4,Delhi Daredevils,6 wickets,112,9,113,4
419154,"Sawai Mansingh Stadium, Jaipur",49th match (N),Jaipur,2010-04-14,Indian Premier League,Rajasthan Royals,Royal Challengers Bangalore,130/6,132/5,Royal Challengers Bangalore,5 wickets,130,6,132,5
419153,"MA Chidambaram Stadium, Chepauk, Chennai",48th match (N),Chennai,2010-04-13,Indian Premier League,Kolkata Knight Riders,Chennai Super Kings,139/8,143/1,Chennai Super Kings,9 wickets,139,8,143,1
419152,"Brabourne Stadium, Mumbai",47th match (D/N),Mumbai,2010-04-13,Indian Premier League,Mumbai Indians,Delhi Daredevils,183/4,144/7,Mumbai Indians,39 runs,183,4,144,7
419151,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",46th match (N),Nagpur,2010-04-12,Indian Premier League,Deccan Chargers,Royal Challengers Bangalore,151/6,138,Deccan Chargers ,13 runs,151,6,138,10
419150,"Sawai Mansingh Stadium, Jaipur",45th match (N),Jaipur,2010-04-11,Indian Premier League,Mumbai Indians,Rajasthan Royals,174/5,137/8,Mumbai Indians,37 runs,174,5,137,8
419149,"Arun Jaitley Stadium, Delhi",44th match (D/N),Delhi,2010-04-11,Indian Premier League,Delhi Daredevils,Kings XI Punjab,111,112/3,Kings XI Punjab,7 wickets,111,10,112,3
419148,"M.Chinnaswamy Stadium, Bengaluru",43rd match (N),Bengaluru,2010-04-10,Indian Premier League,Kolkata Knight Riders,Royal Challengers Bangalore,160/9,162/3,Royal Challengers Bangalore,7 wickets,160,9,162,3
419147,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",42nd match (D/N),Nagpur,2010-04-10,Indian Premier League,Chennai Super Kings,Deccan Chargers,138/8,139/4,Deccan Chargers ,6 wickets,138,8,139,4
419146,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",41st match (N),Chandigarh,2010-04-09,Indian Premier League,Mumbai Indians,Kings XI Punjab,154/9,158/4,Kings XI Punjab,6 wickets,154,9,158,4
419145,"M.Chinnaswamy Stadium, Bengaluru",40th match (N),Bengaluru,2010-04-08,Indian Premier League,Royal Challengers Bangalore,Deccan Chargers,184/6,186/3,Deccan Chargers ,7 wickets,184,6,186,3
419144,"Eden Gardens, Kolkata",39th match (N),Kolkata,2010-04-07,Indian Premier League,Kolkata Knight Riders,Delhi Daredevils,181/3,167/8,Kolkata Knight Riders,14 runs,181,3,167,8
419143,"Sawai Mansingh Stadium, Jaipur",38th match (D/N),Jaipur,2010-04-07,Indian Premier League,Kings XI Punjab,Rajasthan Royals,153/6,157/1,Rajasthan Royals,9 wickets,153,6,157,1
419142,"MA Chidambaram Stadium, Chepauk, Chennai",37th match (N),Chennai,2010-04-06,Indian Premier League,Chennai Super Kings,Mumbai Indians,165/4,141/9,Chennai Super Kings,24 runs,165,4,141,9
419141,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",36th match (N),Nagpur,2010-04-05,Indian Premier League,Rajasthan Royals,Deccan Chargers,159,157,Rajasthan Royals,2 runs,159,10,157,10
419140,"Arun Jaitley Stadium, Delhi",35th match (N),Delhi,2010-04-04,Indian Premier League,Delhi Daredevils,Royal Challengers Bangalore,184/5,147/9,Delhi Daredevils,37 runs,184,5,147,9
419139,"Eden Gardens, Kolkata",34th match (D/N),Kolkata,2010-04-04,Indian Premier League,Kolkata Knight Riders,Kings XI Punjab,200/3,204/2,Kings XI Punjab,8 wickets,200,3,204,2
419138,"Brabourne Stadium, Mumbai",33rd match (N),Mumbai,2010-04-03,Indian Premier League,Mumbai Indians,Deccan Chargers,178/5,115,Mumbai Indians,63 runs,178,5,115,10
419137,"MA Chidambaram Stadium, Chepauk, Chennai",32nd match (D/N),Chennai,2010-04-03,Indian Premier League,Chennai Super Kings,Rajasthan Royals,246/5,223/5,Chennai Super Kings,23 runs,246,5,223,5
419136,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",31st match (N),Chandigarh,2010-04-02,Indian Premier League,Kings XI Punjab,Royal Challengers Bangalore,181/5,184/4,Royal Challengers Bangalore,6 wickets,181,5,184,4
419135,"Eden Gardens, Kolkata",30th match (N),Kolkata,2010-04-01,Indian Premier League,Kolkata Knight Riders,Deccan Chargers,181/6,157/5,Kolkata Knight Riders,24 runs,181,6,157,5
419134,"Arun Jaitley Stadium, Delhi",29th match (N),Delhi,2010-03-31,Indian Premier League,Delhi Daredevils,Rajasthan Royals,188/6,121,Delhi Daredevils,67 runs,188,6,121,10
419133,"MA Chidambaram Stadium, Chepauk, Chennai",28th match (D/N),Chennai,2010-03-31,Indian Premier League,Royal Challengers Bangalore,Chennai Super Kings,161/4,162/5,Chennai Super Kings,5 wickets,161,4,162,5
419132,"Brabourne Stadium, Mumbai",27th match (N),Mumbai,2010-03-30,Indian Premier League,Kings XI Punjab,Mumbai Indians,163,164/6,Mumbai Indians,4 wickets,163,10,164,6
419131,"Arun Jaitley Stadium, Delhi",26th match (N),Delhi,2010-03-29,Indian Premier League,Delhi Daredevils,Kolkata Knight Riders,177/4,137/9,Delhi Daredevils,40 runs,177,4,137,9
