match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
734049,"M.Chinnaswamy Stadium, Bengaluru",Final (N),Bengaluru,2014-06-01,Pepsi Indian Premier League,Kings XI Punjab,Kolkata Knight Riders,199/4,200/7,Kolkata Knight Riders,3 wickets,199,4,200,7
734047,"Wankhede Stadium, Mumbai",Qualifier 2 (N),Mumbai,2014-05-30,Pepsi Indian Premier League,Kings XI Punjab,Chennai Super Kings,226/6,202/7,Kings XI Punjab,24 runs,226,6,202,7
734045,"Brabourne Stadium, Mumbai",Eliminator (N),Mumbai,2014-05-28,Pepsi Indian Premier League,Mumbai Indians,Chennai Super Kings,173/8,176/3,Chennai Super Kings,7 wickets,173,8,176,3
734043,"Eden Gardens, Kolkata",Qualifier 1 (D/N),Kolkata,2014-05-27,Pepsi Indian Premier League,Kolkata Knight Riders,Kings XI Punjab,163/8,135/8,Kolkata Knight Riders,28 runs,163,8,135,8
734041,"Wankhede Stadium, Mumbai",56th match (N),Mumbai,2014-05-25,Pepsi Indian Premier League,Rajasthan Royals,Mumbai Indians,189/4,195/5,Mumbai Indians,5 wickets,189,4,195,5
734039,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",55th match (D/N),Chandigarh,2014-05-25,Pepsi Indian Premier League,Delhi Daredevils,Kings XI Punjab,115,119/3,Kings XI Punjab,7 wickets,115,10,119,3
734037,"Eden Gardens, Kolkata",54th match (N),Kolkata,2014-05-24,Pepsi Indian Premier League,Sunrisers Hyderabad,Kolkata Knight Riders,160/7,161/6,Kolkata Knight Riders,4 wickets,160,7,161,6
734035,"M.Chinnaswamy Stadium, Bengaluru",53rd match (D/N),Bengaluru,2014-05-24,Pepsi Indian Premier League,Royal Challengers Bangalore,Chennai Super Kings,154/6,160/2,Chennai Super Kings,8 wickets,154,6,160,2
734033,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",52nd match (N),Chandigarh,2014-05-23,Pepsi Indian Premier League,Kings XI Punjab,Rajasthan Royals,179/4,163/8,Kings XI Punjab,16 runs,179,4,163,8
734031,"Wankhede Stadium, Mumbai",51st match (D/N),Mumbai,2014-05-23,Pepsi Indian Premier League,Mumbai Indians,Delhi Daredevils,173,158/4,Mumbai Indians,15 runs,173,10,158,4
