match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1181768,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Final (N),Hyderabad,2019-05-12,Indian Premier League,Mumbai Indians,Chennai Super Kings,149/8,148/7,Mumbai Indians,1 run,149,8,148,7
1181767,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Qualifier 2 (N),Visakhapatnam,2019-05-10,Indian Premier League,Delhi Capitals,Chennai Super Kings,147/9,151/4,Chennai Super Kings,6 wickets,147,9,151,4
1181766,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Eliminator (N),Visakhapatnam,2019-05-08,Indian Premier League,Sunrisers Hyderabad,Delhi Capitals,162/8,165/8,Delhi Capitals,2 wickets,162,8,165,8
1181764,"MA Chidambaram Stadium, Chepauk, Chennai",Qualifier 1 (N),Chennai,2019-05-07,Indian Premier League,Chennai Super Kings,Mumbai Indians,131/4,132/4,Mumbai Indians,6 wickets,131,4,132,4
1178431,"Wankhede Stadium, Mumbai",56th Match (N),Mumbai,2019-05-05,Indian Premier League,Kolkata Knight Riders,Mumbai Indians,133/7,134/1,Mumbai Indians,9 wickets,133,7,134,1
1178430,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",55th Match (D/N),Chandigarh,2019-05-05,Indian Premier League,Chennai Super Kings,Kings XI Punjab,170/5,173/4,Kings XI Punjab,6 wickets,170,5,173,4
1178429,"M.Chinnaswamy Stadium, Bengaluru",54th Match (N),Bengaluru,2019-05-04,Indian Premier League,Sunrisers Hyderabad,Royal Challengers Bangalore,175/7,178/6,Royal Challengers Bangalore,4 wickets,175,7,178,6
1178428,"Arun Jaitley Stadium, Delhi",53rd Match (D/N),Delhi,2019-05-04,Indian Premier League,Rajasthan Royals,Delhi Capitals,115/9,121/5,Delhi Capitals,5 wickets,115,9,121,5
1178427,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",52nd Match (N),Chandigarh,2019-05-03,Indian Premier League,Kings XI Punjab,Kolkata Knight Riders,183/6,185/3,Kolkata Knight Riders,7 wickets,183,6,185,3
1178426,"Wankhede Stadium, Mumbai",51st Match (N),Mumbai,2019-05-02,Indian Premier League,Mumbai Indians,Sunrisers Hyderabad,162/5,162/6,Mumbai Indians,Super Over,162,5,162,6
