match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
548381,"MA Chidambaram Stadium, Chepauk, Chennai",Final (N),Chennai,2012-05-27,Indian Premier League,Chennai Super Kings,Kolkata Knight Riders,190/3,192/5,Kolkata Knight Riders,5 wickets,190,3,192,5
548380,"MA Chidambaram Stadium, Chepauk, Chennai",2nd Qualifying Match (N),Chennai,2012-05-25,Indian Premier League,Chennai Super Kings,Delhi Daredevils,222/5,136,Chennai Super Kings,86 runs,222,5,136,10
548379,"M.Chinnaswamy Stadium, Bengaluru",Elimination Final (N),Bengaluru,2012-05-23,Indian Premier League,Chennai Super Kings,Mumbai Indians,187/5,149/9,Chennai Super Kings,38 runs,187,5,149,9
548378,"Maharashtra Cricket Association Stadium, Pune",1st Qualifying Match (N),Pune,2012-05-22,Indian Premier League,Kolkata Knight Riders,Delhi Daredevils,162/4,144/8,Kolkata Knight Riders,18 runs,162,4,144,8
548377,"Sawai Mansingh Stadium, Jaipur",72nd match (N),Jaipur,2012-05-20,Indian Premier League,Rajasthan Royals,Mumbai Indians,162/6,163/0,Mumbai Indians,10 wickets,162,6,163,0
548376,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",71st match (D/N),Hyderabad,2012-05-20,Indian Premier League,Deccan Chargers,Royal Challengers Bangalore,132/7,123/9,Deccan Chargers ,9 runs,132,7,123,9
548375,"Maharashtra Cricket Association Stadium, Pune",70th match (N),Pune,2012-05-19,Indian Premier League,Kolkata Knight Riders,Pune Warriors,136/4,102/8,Kolkata Knight Riders,34 runs,136,4,102,8
548374,"Himachal Pradesh Cricket Association Stadium, Dharamsala",69th match (D/N),Dharamsala,2012-05-19,Indian Premier League,Kings XI Punjab,Delhi Daredevils,141/8,145/4,Delhi Daredevils,6 wickets,141,8,145,4
548373,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",68th match (N),Hyderabad,2012-05-18,Indian Premier League,Rajasthan Royals,Deccan Chargers,126/8,128/5,Deccan Chargers ,5 wickets,126,8,128,5
548372,"Arun Jaitley Stadium, Delhi",67th match (N),Delhi,2012-05-17,Indian Premier League,Royal Challengers Bangalore,Delhi Daredevils,215/1,194/9,Royal Challengers Bangalore,21 runs,215,1,194,9
548371,"Himachal Pradesh Cricket Association Stadium, Dharamsala",66th match (D/N),Dharamsala,2012-05-17,Indian Premier League,Chennai Super Kings,Kings XI Punjab,120/7,123/4,Kings XI Punjab,6 wickets,120,7,123,4
548370,"Wankhede Stadium, Mumbai",65th match (N),Mumbai,2012-05-16,Indian Premier League,Kolkata Knight Riders,Mumbai Indians,140/7,108,Kolkata Knight Riders,32 runs,140,7,108,10
548369,"Arun Jaitley Stadium, Delhi",64th match (N),Delhi,2012-05-15,Indian Premier League,Kings XI Punjab,Delhi Daredevils,136/8,140/5,Delhi Daredevils,5 wickets,136,8,140,5
548368,"Eden Gardens, Kolkata",63rd match (N),Kolkata,2012-05-14,Indian Premier League,Kolkata Knight Riders,Chennai Super Kings,158/6,160/5,Chennai Super Kings,5 wickets,158,6,160,5
548367,"M.Chinnaswamy Stadium, Bengaluru",62nd match (D/N),Bengaluru,2012-05-14,Indian Premier League,Royal Challengers Bangalore,Mumbai Indians,171/6,173/5,Mumbai Indians,5 wickets,171,6,173,5
548366,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",61st match (N),Chandigarh,2012-05-13,Indian Premier League,Deccan Chargers,Kings XI Punjab,190/4,194/6,Kings XI Punjab,4 wickets,190,4,194,6
548365,"Sawai Mansingh Stadium, Jaipur",60th match (D/N),Jaipur,2012-05-13,Indian Premier League,Rajasthan Royals,Pune Warriors,170/4,125/9,Rajasthan Royals,45 runs,170,4,125,9
548364,"MA Chidambaram Stadium, Chepauk, Chennai",59th match (N),Chennai,2012-05-12,Indian Premier League,Delhi Daredevils,Chennai Super Kings,114/5,115/1,Chennai Super Kings,9 wickets,114,5,115,1
548363,"Eden Gardens, Kolkata",58th match (D/N),Kolkata,2012-05-12,Indian Premier League,Mumbai Indians,Kolkata Knight Riders,182/1,155/4,Mumbai Indians,27 runs,182,1,155,4
548362,"Maharashtra Cricket Association Stadium, Pune",57th match (N),Pune,2012-05-11,Indian Premier League,Royal Challengers Bangalore,Pune Warriors,173/3,138/9,Royal Challengers Bangalore,35 runs,173,3,138,9
548361,"Sawai Mansingh Stadium, Jaipur",56th match (N),Jaipur,2012-05-10,Indian Premier League,Rajasthan Royals,Chennai Super Kings,126/6,127/6,Chennai Super Kings,4 wickets,126,6,127,6
548329,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",55th match (D/N),Hyderabad,2012-05-10,Indian Premier League,Deccan Chargers,Delhi Daredevils,187/4,193/1,Delhi Daredevils,9 wickets,187,4,193,1
548360,"Wankhede Stadium, Mumbai",54th match (N),Mumbai,2012-05-09,Indian Premier League,Mumbai Indians,Royal Challengers Bangalore,141/6,142/1,Royal Challengers Bangalore,9 wickets,141,6,142,1
548359,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",53rd match (N),Hyderabad,2012-05-08,Indian Premier League,Kings XI Punjab,Deccan Chargers,170/5,145/8,Kings XI Punjab,25 runs,170,5,145,8
548358,"Maharashtra Cricket Association Stadium, Pune",52nd match (D/N),Pune,2012-05-08,Indian Premier League,Pune Warriors,Rajasthan Royals,125/6,126/3,Rajasthan Royals,7 wickets,125,6,126,3
548357,"Arun Jaitley Stadium, Delhi",51st match (N),Delhi,2012-05-07,Indian Premier League,Delhi Daredevils,Kolkata Knight Riders,153/9,154/4,Kolkata Knight Riders,6 wickets,153,9,154,4
548356,"M.Chinnaswamy Stadium, Bengaluru",50th match (N),Bengaluru,2012-05-06,Indian Premier League,Deccan Chargers,Royal Challengers Bangalore,181/2,185/5,Royal Challengers Bangalore,5 wickets,181,2,185,5
548355,"Wankhede Stadium, Mumbai",49th match (D/N),Mumbai,2012-05-06,Indian Premier League,Chennai Super Kings,Mumbai Indians,173/8,174/8,Mumbai Indians,2 wickets,173,8,174,8
548354,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",48th match (N),Chandigarh,2012-05-05,Indian Premier League,Rajasthan Royals,Kings XI Punjab,177/6,134/8,Rajasthan Royals,43 runs,177,6,134,8
548353,"Eden Gardens, Kolkata",47th match (D/N),Kolkata,2012-05-05,Indian Premier League,Kolkata Knight Riders,Pune Warriors,150/5,143/8,Kolkata Knight Riders,7 runs,150,5,143,8
