match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1086737,"Edgbaston, Birmingham",Final (N),Birmingham,2017-09-02,NatWest t20 Blast,Nottinghamshire,Warwickshire,190/4,168/8,Nottinghamshire,22 runs,190,4,168,8
1086736,"Edgbaston, Birmingham",2nd Semi-Final,Birmingham,2017-09-02,NatWest t20 Blast,Nottinghamshire,Hampshire,169/7,146,Nottinghamshire,23 runs,169,7,146,10
1068428,"Edgbaston, Birmingham",1st Semi-Final,Birmingham,2017-09-02,NatWest t20 Blast,Warwickshire,Glamorgan,175/9,164,Warwickshire,11 runs,175,9,164,10
1068427,"Kennington Oval, London",4th Quarter-Final,London,2017-08-25,NatWest t20 Blast,Surrey,Warwickshire,204/5,207/4,Warwickshire,6 wickets,204,5,207,4
1068426,"Trent Bridge, Nottingham",3rd Quarter-Final,Nottingham,2017-08-24,NatWest t20 Blast,Somerset,Nottinghamshire,151/6,152/5,Nottinghamshire,5 wickets,151,6,152,5
1068425,"Sophia Gardens, Cardiff",2nd Quarter-Final,Cardiff,2017-08-23,NatWest t20 Blast,Leicestershire,Glamorgan,123,126/1,Glamorgan,9 wickets,123,10,126,1
1068424,"County Ground, Hove",1st Quarter-Final,Brighton,2017-08-22,NatWest t20 Blast,Hampshire,Derbyshire,249/8,148,Hampshire,101 runs,249,8,148,10
1068423,"Trent Bridge, Nottingham",North Group (N),Nottingham,2017-08-18,NatWest t20 Blast,Leicestershire,Nottinghamshire,203/5,201/8,Leicestershire,2 runs,203,5,201,8
1068422,"County Ground, Northampton",North Group (N),Northampton,2017-08-18,NatWest t20 Blast,Durham,Northamptonshire,,,,,,,,
1068421,"Old Trafford, Manchester",North Group (N),Manchester,2017-08-18,NatWest t20 Blast,Lancashire,Warwickshire,163/4,169/8,Warwickshire,2 wickets,163,4,169,8
1068420,"The Rose Bowl, Southampton",South Group (N),Southampton,2017-08-18,NatWest t20 Blast,Somerset,Hampshire,189/3,91,Somerset,98 runs,189,3,91,10
1068419,"County Ground, Derby",North Group (N),Derby,2017-08-18,NatWest t20 Blast,Derbyshire,Worcestershire,146/8,98,Derbyshire,48 runs,146,8,98,10
1068418,"Sophia Gardens, Cardiff",South Group (N),Cardiff,2017-08-18,NatWest t20 Blast,Middlesex,Glamorgan,99/8,100/3,Glamorgan,7 wickets,99,8,100,3
1068417,"County Ground, Hove",South Group (N),Brighton,2017-08-18,NatWest t20 Blast,Sussex,Essex,172/4,117,Sussex,55 runs,172,4,117,10
1068416,"St Lawrence Ground, Canterbury",South Group (N),Canterbury,2017-08-18,NatWest t20 Blast,Surrey,Kent,154/9,144/8,Surrey,10 runs,154,9,144,8
1068415,"Headingley, Leeds",North Group (N),Leeds,2017-08-17,NatWest t20 Blast,Yorkshire,Northamptonshire,260/4,136,Yorkshire,124 runs,260,4,136,10
1068412,"County Ground, Chelmsford",South Group (N),Chelmsford,2017-08-17,NatWest t20 Blast,Kent,Essex,221/2,210/5,Kent,11 runs,221,2,210,5
1068414,"Kennington Oval, London",South Group (N),London,2017-08-17,NatWest t20 Blast,Gloucestershire,Surrey,130/9,134/8,Surrey,2 wickets,130,9,134,8
1068413,"Grace Road, Leicester",North Group (N),Leicester,2017-08-17,NatWest t20 Blast,Derbyshire,Leicestershire,139/7,143/6,Leicestershire,4 wickets,139,7,143,6
