match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
435840,"The Rose Bowl, Southampton",Final (N),Southampton,2010-08-14,Friends Provident t20,Somerset,Hampshire,173/6,173/5,Hampshire,lost fewer wickets,173,6,173,5
435839,"The Rose Bowl, Southampton",2nd Semi-Final,Southampton,2010-08-14,Friends Provident t20,Somerset,Nottinghamshire,182/5,117/4,Somerset,3 runs,182,5,117,4
435838,"The Rose Bowl, Southampton",1st Semi-Final,Southampton,2010-08-14,Friends Provident t20,Essex,Hampshire,156/7,157/4,Hampshire,6 wickets,156,7,157,4
435834,"County Ground, Chelmsford",Quarter-Final,Chelmsford,2010-07-27,Friends Provident t20,Lancashire,Essex,183/6,184/2,Essex,8 wickets,183,6,184,2
435837,"The Cooper Associates County Ground, Taunton",Quarter-Final,Taunton,2010-07-27,Friends Provident t20,Northamptonshire,Somerset,112/6,115/3,Somerset,7 wickets,112,6,115,3
435835,"Trent Bridge, Nottingham",Quarter-Final,Nottingham,2010-07-26,Friends Provident t20,Nottinghamshire,Sussex,141/9,128/7,Nottinghamshire,13 runs,141,9,128,7
435836,"Edgbaston, Birmingham",Quarter-Final,Birmingham,2010-07-26,Friends Provident t20,Warwickshire,Hampshire,153/5,154/5,Hampshire,5 wickets,153,5,154,5
435829,"The Rose Bowl, Southampton",South Group,Southampton,2010-07-18,Friends Provident t20,Hampshire,Sussex,195/5,150,Hampshire,45 runs,195,5,150,10
435833,"County Ground, Derby",North Group,Derby,2010-07-18,Friends Provident t20,Derbyshire,Yorkshire,137/7,138/4,Yorkshire,6 wickets,137,7,138,4
435832,"Grace Road, Leicester",North Group,Leicester,2010-07-18,Friends Provident t20,Warwickshire,Leicestershire,137/7,129/6,Warwickshire,8 runs,137,7,129,6
435831,"Riverside Ground, Chester-le-Street",North Group,Chester-le-Street,2010-07-18,Friends Provident t20,Durham,Northamptonshire,130/5,133/3,Northamptonshire,7 wickets,130,5,133,3
435830,"County Ground, Bristol",South Group,Bristol,2010-07-18,Friends Provident t20,Gloucestershire,Surrey,147/9,150/4,Surrey,6 wickets,147,9,150,4
435828,"County Ground, New Road, Worcester",North Group,Worcester,2010-07-18,Friends Provident t20,Lancashire,Worcestershire,198/6,191/7,Lancashire,7 runs,198,6,191,7
435827,"County Ground, Chelmsford",South Group,Chelmsford,2010-07-18,Friends Provident t20,Middlesex,Essex,173/7,162/6,Middlesex,11 runs,173,7,162,6
435826,"The Cooper Associates County Ground, Taunton",South Group,Taunton,2010-07-18,Friends Provident t20,Kent,Somerset,141,82,Kent,59 runs,141,10,82,10
435825,"Trent Bridge, Nottingham",North Group (N),Nottingham,2010-07-17,Friends Provident t20,Yorkshire,Nottinghamshire,112/7,116/3,Nottinghamshire,7 wickets,112,7,116,3
435824,"County Ground, Hove",South Group (N),Brighton,2010-07-16,Friends Provident t20,Sussex,Essex,185/4,188/5,Essex,5 wickets,185,4,188,5
435818,"The Rose Bowl, Southampton",South Group (N),Southampton,2010-07-16,Friends Provident t20,Hampshire,Middlesex,99,100/2,Middlesex,8 wickets,99,10,100,2
435823,"County Ground, Derby",North Group (N),Derby,2010-07-16,Friends Provident t20,Northamptonshire,Derbyshire,159/4,116,Northamptonshire,43 runs,159,4,116,10
435822,"Sophia Gardens, Cardiff",South Group (N),Cardiff,2010-07-16,Friends Provident t20,Kent,Glamorgan,158/9,95/3,Kent,14 runs,158,9,95,3
435821,"County Ground, Bristol",South Group,Bristol,2010-07-16,Friends Provident t20,Gloucestershire,Somerset,152/9,156/4,Somerset,6 wickets,152,9,156,4
435820,"Grace Road, Leicester",North Group,Leicester,2010-07-16,Friends Provident t20,Leicestershire,Durham,,,,,,,,
435819,"Edgbaston, Birmingham",North Group,Birmingham,2010-07-16,Friends Provident t20,Warwickshire,Worcestershire,112/4,103/7,Warwickshire,9 runs,112,4,103,7
435815,"County Ground, Chelmsford",South Group (N),Chelmsford,2010-07-15,Friends Provident t20,Gloucestershire,Essex,162/5,167/3,Essex,7 wickets,162,5,167,3
435816,"County Ground, Northampton",North Group (N),Northampton,2010-07-15,Friends Provident t20,Northamptonshire,Lancashire,170/4,159/6,Northamptonshire,11 runs,170,4,159,6
435817,"Trent Bridge, Nottingham",North Group (N),Nottingham,2010-07-15,Friends Provident t20,Leicestershire,Nottinghamshire,145/5,107/9,Leicestershire,23 runs,145,5,107,9
435813,"Sophia Gardens, Cardiff",South Group (N),Cardiff,2010-07-14,Friends Provident t20,Glamorgan,Somerset,116/7,92/3,Somerset,7 wickets,116,7,92,3
435814,"Riverside Ground, Chester-le-Street",North Group,Chester-le-Street,2010-07-14,Friends Provident t20,Durham,Derbyshire,,,,,,,,
