match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1127580,"Edgbaston, Birmingham",Final (N),Birmingham,2018-09-15,Vitality Blast,Sussex,Worcestershire,157/6,158/5,Worcestershire,5 wickets,157,6,158,5
1127578,"Edgbaston, Birmingham",2nd Semi-Final,Birmingham,2018-09-15,Vitality Blast,Sussex,Somerset,202/8,167/8,Sussex,35 runs,202,8,167,8
1127579,"Edgbaston, Birmingham",1st Semi-Final,Birmingham,2018-09-15,Vitality Blast,Worcestershire,Lancashire,169/6,149/9,Worcestershire,20 runs,169,6,149,9
1127577,"The Cooper Associates County Ground, Taunton",4th Quarter-Final,Taunton,2018-08-26,Vitality Blast,Somerset,Nottinghamshire,209/5,190,Somerset,19 runs,209,5,190,10
1127576,"County Ground, New Road, Worcester",3rd Quarter-Final,Worcester,2018-08-25,Vitality Blast,Gloucestershire,Worcestershire,136/8,137/5,Worcestershire,5 wickets,136,8,137,5
1127575,"Riverside Ground, Chester-le-Street",2nd Quarter-Final (N),Chester-le-Street,2018-08-24,Vitality Blast,Durham,Sussex,140/7,144/5,Sussex,5 wickets,140,7,144,5
1127574,"St Lawrence Ground, Canterbury",1st Quarter-Final (N),Canterbury,2018-08-23,Vitality Blast,Kent,Lancashire,133/9,134/4,Lancashire,6 wickets,133,9,134,4
1127573,"Grace Road, Leicester",North Group (N),Leicester,2018-08-17,Vitality Blast,Leicestershire,Northamptonshire,148/7,154/6,Northamptonshire,4 wickets,148,7,154,6
1127572,"County Ground, Hove",South Group (N),Brighton,2018-08-17,Vitality Blast,Sussex,Middlesex,215/5,184,Sussex,31 runs,215,5,184,10
1127571,"Sophia Gardens, Cardiff",South Group (N),Cardiff,2018-08-17,Vitality Blast,Glamorgan,Surrey,183/8,60/0,Surrey,24 runs,183,8,60,0
1127570,"Riverside Ground, Chester-le-Street",North Group (N),Chester-le-Street,2018-08-17,Vitality Blast,Durham,Derbyshire,,,,,,,,
1127569,"Headingley, Leeds",North Group (N),Leeds,2018-08-17,Vitality Blast,Yorkshire,Nottinghamshire,163/6,169/2,Nottinghamshire,8 wickets,163,6,169,2
1127568,"Edgbaston, Birmingham",North Group (N),Birmingham,2018-08-17,Vitality Blast,Worcestershire,Birmingham Bears,209/5,194/7,Worcestershire,15 runs,209,5,194,7
1127567,"County Ground, Chelmsford",South Group (N),Chelmsford,2018-08-17,Vitality Blast,Essex,Kent,201/6,203/5,Kent,5 wickets,201,6,203,5
1127566,"The Rose Bowl, Southampton",South Group (N),Southampton,2018-08-17,Vitality Blast,Gloucestershire,Hampshire,144/8,147/4,Hampshire,6 wickets,144,8,147,4
1127562,"St Lawrence Ground, Canterbury",South Group (N),Canterbury,2018-08-16,Vitality Blast,Kent,Somerset,231/5,226/5,Kent,5 runs,231,5,226,5
1127565,"County Ground, Bristol",South Group (N),Bristol,2018-08-16,Vitality Blast,Gloucestershire,Sussex,159/9,160/6,Sussex,4 wickets,159,9,160,6
1127564,"County Ground, Northampton",North Group (N),Northampton,2018-08-16,Vitality Blast,Northamptonshire,Yorkshire,162/8,165/3,Yorkshire,7 wickets,162,8,165,3
1127563,"Lord's, London",South Group (N),London,2018-08-16,Vitality Blast,Middlesex,Essex,210/3,211/4,Essex,6 wickets,210,3,211,4
1127560,"Edgbaston, Birmingham",North Group (N),Birmingham,2018-08-15,Vitality Blast,Lancashire,Birmingham Bears,102,105/3,Birmingham Bears,7 wickets,102,10,105,3
1127561,"Kennington Oval, London",South Group (N),London,2018-08-15,Vitality Blast,Hampshire,Surrey,133/7,136/3,Surrey,7 wickets,133,7,136,3
1127559,"County Ground, Hove",South Group (N),Brighton,2018-08-14,Vitality Blast,Sussex,Glamorgan,186/5,88,Sussex,98 runs,186,5,88,10
1127554,"The Kent County Cricket Ground, Beckenham",South Group,Beckenham,2018-08-12,Vitality Blast,Middlesex,Kent,189/7,191/7,Kent,3 wickets,189,7,191,7
1127558,"The Cooper Associates County Ground, Taunton",South Group,Taunton,2018-08-12,Vitality Blast,Somerset,Glamorgan,210/8,181/9,Somerset,29 runs,210,8,181,9
1127557,"County Ground, Bristol",South Group,Bristol,2018-08-12,Vitality Blast,Gloucestershire,Surrey,174/6,169/7,Gloucestershire,5 runs,174,6,169,7
1127556,"County Ground, New Road, Worcester",North Group,Worcester,2018-08-12,Vitality Blast,Worcestershire,Nottinghamshire,191/6,194/5,Nottinghamshire,5 wickets,191,6,194,5
1127555,"Riverside Ground, Chester-le-Street",North Group,Chester-le-Street,2018-08-12,Vitality Blast,Lancashire,Durham,143/6,78,Lancashire,65 runs,143,6,78,10
1127553,"The Rose Bowl, Southampton",South Group,Southampton,2018-08-12,Vitality Blast,Essex,Hampshire,,,,,,,,
1127552,"County Ground, Derby",North Group (N),Derby,2018-08-11,Vitality Blast,Leicestershire,Derbyshire,,,,,,,,
1127548,"County Ground, Hove",South Group (N),Brighton,2018-08-10,Vitality Blast,Sussex,Kent,,,,,,,,
1127547,"Sophia Gardens, Cardiff",South Group (N),Cardiff,2018-08-10,Vitality Blast,Hampshire,Glamorgan,151/8,155/2,Glamorgan,8 wickets,151,8,155,2
1127544,"County Ground, Chelmsford",South Group (N),Chelmsford,2018-08-10,Vitality Blast,Essex,Gloucestershire,,,,,,,,
1127551,"Trent Bridge, Nottingham",North Group (N),Nottingham,2018-08-10,Vitality Blast,Nottinghamshire,Yorkshire,212/5,149/7,Nottinghamshire,63 runs,212,5,149,7
1127550,"Grace Road, Leicester",North Group (N),Leicester,2018-08-10,Vitality Blast,Leicestershire,Worcestershire,155/9,150/6,Leicestershire,5 runs,155,9,150,6
1127546,"County Ground, Northampton",North Group (N),Northampton,2018-08-10,Vitality Blast,Durham,Northamptonshire,174/7,162/9,Durham,12 runs,174,7,162,9
1127545,"Old Trafford, Manchester",North Group (N),Manchester,2018-08-10,Vitality Blast,Lancashire,Birmingham Bears,185/5,148,Lancashire,37 runs,185,5,148,10
1127549,"The Cooper Associates County Ground, Taunton",South Group (D/N),Taunton,2018-08-10,Vitality Blast,Surrey,Somerset,176/9,177/6,Somerset,4 wickets,176,9,177,6
1127540,"Headingley, Leeds",North Group (N),Leeds,2018-08-09,Vitality Blast,Yorkshire,Lancashire,181/9,185/4,Lancashire,6 wickets,181,9,185,4
1127539,"Edgbaston, Birmingham",North Group (N),Birmingham,2018-08-09,Vitality Blast,Nottinghamshire,Birmingham Bears,152/8,156/4,Birmingham Bears,6 wickets,152,8,156,4
1127543,"County Ground, Bristol",South Group (N),Bristol,2018-08-09,Vitality Blast,Gloucestershire,Middlesex,242/4,172/6,Gloucestershire,70 runs,242,4,172,6
1127541,"Kennington Oval, London",South Group (N),London,2018-08-09,Vitality Blast,Sussex,Surrey,,,,,,,,
1127542,"County Ground, New Road, Worcester",North Group (D/N),Worcester,2018-08-09,Vitality Blast,Worcestershire,Derbyshire,137/8,121/7,Worcestershire,16 runs,137,8,121,7
1127538,"County Ground, Derby",North Group (N),Derby,2018-08-08,Vitality Blast,Derbyshire,Northamptonshire,177/6,179/3,Northamptonshire,7 wickets,177,6,179,3
1127537,"Riverside Ground, Chester-le-Street",North Group (N),Chester-le-Street,2018-08-08,Vitality Blast,Durham,Leicestershire,156/6,142/6,Durham,14 runs,156,6,142,6
1127536,"The Rose Bowl, Southampton",South Group (N),Southampton,2018-08-08,Vitality Blast,Hampshire,Somerset,129/8,130/4,Somerset,6 wickets,129,8,130,4
1127535,"Sophia Gardens, Cardiff",South Group (N),Cardiff,2018-08-07,Vitality Blast,Glamorgan,Essex,198/7,192/6,Glamorgan,6 runs,198,7,192,6
1127534,"Old Trafford, Manchester",North Group (N),Manchester,2018-08-07,Vitality Blast,Durham,Lancashire,154/7,150/9,Durham,4 runs,154,7,150,9
1127529,"St Lawrence Ground, Canterbury",South Group,Canterbury,2018-08-05,Vitality Blast,Kent,Gloucestershire,160/5,164/2,Gloucestershire,8 wickets,160,5,164,2
1127533,"County Ground, Hove",South Group,Brighton,2018-08-05,Vitality Blast,Sussex,Somerset,169/5,170/7,Somerset,3 wickets,169,5,170,7
1127532,"Old Deer Park, Richmond",South Group,Richmond,2018-08-05,Vitality Blast,Middlesex,Glamorgan,131,135/3,Glamorgan,7 wickets,131,10,135,3
