match_id,year,id,over,ball,runs,extras,extra_type,batter,batter_runs,batter_balls,batter_sr,nonstriker,nonstriker_runs,nonstriker_balls,nonstriker_sr,bowler,batter_out,wicket_type,team,team_code,innings_runs,innings_wickets,innings_balls
1025671,2016,116010,16.0,1.0,1.0,0.0,,Adam Zampa,2,2,100.0,Veerasammy Permaul,0,0,,Andre Russell,A Zampa,A Zampa run out (Williams/&dagger;Sangakkara) 2 (2b 0x4 0x6) SR: 100.00,Guyana Amazon Warriors,GAW,92.0,9,96.0
1025671,2016,115060,15.0,6.0,1.0,0.0,,Adam Zampa,1,1,100.0,Veerasammy Permaul,0,0,,Kesrick Williams,,,Guyana Amazon Warriors,GAW,91.0,9,95.0
1025671,2016,115050,15.0,5.0,0.0,0.0,,Steven Jacobs,7,9,77.78,Veerasammy Permaul,0,0,,Kesrick Williams,SA Jacobs,SA Jacobs  b Williams 7 (9b 1x4 0x6) SR: 77.77,Guyana Amazon Warriors,GAW,91.0,8,94.0
1025671,2016,14010,4.0,1.0,4.0,0.0,,Sohail Tanvir,14,7,200.0,Dwayne Smith,6,10,60.0,Shakib Al Hasan,,,Guyana Amazon Warriors,GAW,23.0,2,24.0
1025671,2016,13060,3.0,6.0,4.0,0.0,,Dwayne Smith,6,10,60.0,Sohail Tanvir,10,6,166.67,Kesrick Williams,,,Guyana Amazon Warriors,GAW,19.0,2,23.0
1025671,2016,13050,3.0,5.0,0.0,0.0,,Dwayne Smith,2,9,22.22,Sohail Tanvir,10,6,166.67,Kesrick Williams,,,Guyana Amazon Warriors,GAW,19.0,2,22.0
1025671,2016,13040,3.0,4.0,0.0,0.0,,Dwayne Smith,2,8,25.0,Sohail Tanvir,10,6,166.67,Kesrick Williams,,,Guyana Amazon Warriors,GAW,19.0,2,21.0
1025671,2016,13030,3.0,3.0,0.0,0.0,,Dwayne Smith,2,7,28.57,Sohail Tanvir,10,6,166.67,Kesrick Williams,,,Guyana Amazon Warriors,GAW,19.0,2,20.0
1025671,2016,13020,3.0,2.0,1.0,0.0,,Sohail Tanvir,10,6,166.67,Dwayne Smith,2,6,33.33,Kesrick Williams,,,Guyana Amazon Warriors,GAW,18.0,2,19.0
1025671,2016,13010,3.0,1.0,4.0,0.0,,Sohail Tanvir,9,5,180.0,Dwayne Smith,2,6,33.33,Kesrick Williams,,,Guyana Amazon Warriors,GAW,14.0,2,18.0
1025671,2016,12060,2.0,6.0,0.0,0.0,,Dwayne Smith,2,6,33.33,Sohail Tanvir,5,4,125.0,Shakib Al Hasan,,,Guyana Amazon Warriors,GAW,14.0,2,17.0
1025671,2016,12050,2.0,5.0,1.0,0.0,,Sohail Tanvir,5,4,125.0,Dwayne Smith,2,5,40.0,Shakib Al Hasan,,,Guyana Amazon Warriors,GAW,13.0,2,16.0
1025671,2016,12040,2.0,4.0,0.0,0.0,,Sohail Tanvir,4,3,133.33,Dwayne Smith,2,5,40.0,Shakib Al Hasan,,,Guyana Amazon Warriors,GAW,13.0,2,15.0
1025671,2016,12030,2.0,3.0,4.0,0.0,,Sohail Tanvir,4,2,200.0,Dwayne Smith,2,5,40.0,Shakib Al Hasan,,,Guyana Amazon Warriors,GAW,9.0,2,14.0
1025671,2016,12020,2.0,2.0,0.0,0.0,,Sohail Tanvir,0,1,0.0,Dwayne Smith,2,5,40.0,Shakib Al Hasan,,,Guyana Amazon Warriors,GAW,9.0,2,13.0
1025671,2016,12010,2.0,1.0,0.0,0.0,,Chris Lynn,7,7,100.0,Dwayne Smith,2,5,40.0,Shakib Al Hasan,CA Lynn,CA Lynn c Foo b Shakib Al Hasan 7 (7b 1x4 0x6) SR: 100.00,Guyana Amazon Warriors,GAW,9.0,1,12.0
1025671,2016,11060,1.0,6.0,1.0,0.0,,Chris Lynn,7,6,116.67,Dwayne Smith,2,5,40.0,Imad Wasim,,,Guyana Amazon Warriors,GAW,8.0,1,11.0
1025671,2016,11050,1.0,5.0,0.0,0.0,,Chris Lynn,6,5,120.0,Dwayne Smith,2,5,40.0,Imad Wasim,,,Guyana Amazon Warriors,GAW,8.0,1,10.0
1025671,2016,11040,1.0,4.0,1.0,0.0,,Dwayne Smith,2,5,40.0,Chris Lynn,6,4,150.0,Imad Wasim,,,Guyana Amazon Warriors,GAW,7.0,1,9.0
1025671,2016,11030,1.0,3.0,0.0,0.0,,Dwayne Smith,1,4,25.0,Chris Lynn,6,4,150.0,Imad Wasim,,,Guyana Amazon Warriors,GAW,7.0,1,8.0
1025671,2016,11020,1.0,2.0,1.0,0.0,,Chris Lynn,6,4,150.0,Dwayne Smith,1,3,33.33,Imad Wasim,,,Guyana Amazon Warriors,GAW,6.0,1,7.0
